tick_n,phase,status,raw_eda,raw_hr,raw_hrv,smooth_eda,smooth_hr,smooth_hrv
1,BASELINE,NEW_DATA,3.7634,nan,nan,3.7634,nan,nan
2,BASELINE,NEW_DATA,3.6684,90.3801,nan,3.6684,90.3801,nan
3,BASELINE,NEW_DATA,3.8223,87.9073,nan,3.8223,87.9073,nan
4,BASELINE,NEW_DATA,3.6760,88.2692,nan,3.6760,88.2692,nan
5,BASELINE,NEW_DATA,2.9422,88.8484,nan,2.9422,88.8484,nan
6,BASELINE,NEW_DATA,3.0081,88.7903,nan,3.0081,88.7903,nan
7,BASELINE,NEW_DATA,3.6312,89.2181,nan,3.6312,89.2181,nan
8,BASELINE,NEW_DATA,3.1551,89.7815,nan,3.1551,89.7815,nan
9,BASELINE,NEW_DATA,3.1971,89.7646,nan,3.1971,89.7646,nan
10,BASELINE,NEW_DATA,3.7481,89.5016,nan,3.7481,89.5016,nan
11,BASELINE,NEW_DATA,4.0255,89.1050,nan,4.0255,89.1050,nan
12,BASELINE,NEW_DATA,2.6852,89.3354,nan,2.6852,89.3354,nan
13,BASELINE,NEW_DATA,2.6439,89.5088,nan,2.6439,89.5088,nan
14,BASELINE,NEW_DATA,2.9141,89.3940,nan,2.9141,89.3940,nan
15,BASELINE,NEW_DATA,3.9718,89.2253,nan,3.9718,89.2253,nan
16,BASELINE,NEW_DATA,2.9311,89.1824,nan,2.9311,89.1824,nan
17,BASELINE,NEW_DATA,4.2326,89.4161,nan,4.2326,89.4161,nan
18,BASELINE,NEW_DATA,3.2959,89.5382,nan,3.2959,89.5382,nan
19,BASELINE,NEW_DATA,3.0837,89.9234,nan,3.0837,89.9234,nan
20,BASELINE,NEW_DATA,3.0719,90.7651,nan,3.0719,90.7651,nan
21,BASELINE,NEW_DATA,3.3861,91.1933,nan,3.3861,91.1933,nan
22,BASELINE,NEW_DATA,4.6640,91.0502,nan,4.6640,91.0502,nan
23,BASELINE,NEW_DATA,4.1188,91.1027,nan,4.1188,91.1027,nan
24,BASELINE,NEW_DATA,4.0023,91.3309,nan,4.0023,91.3309,nan
25,BASELINE,NEW_DATA,2.5666,90.5574,nan,2.5666,90.5574,nan
26,BASELINE,NEW_DATA,4.8443,89.9621,nan,4.8443,89.9621,nan
27,BASELINE,NEW_DATA,4.0977,89.4304,nan,4.0977,89.4304,nan
28,BASELINE,NEW_DATA,3.1440,88.9528,nan,3.1440,88.9528,nan
29,BASELINE,NEW_DATA,3.5317,88.5001,nan,3.5317,88.5001,nan
30,BASELINE,NEW_DATA,4.0977,87.9290,nan,4.0977,87.9290,nan
31,BASELINE,NEW_DATA,3.0504,87.6887,nan,3.0504,87.6887,nan
32,BASELINE,NEW_DATA,4.1046,87.8362,nan,4.1046,87.8362,nan
33,BASELINE,NEW_DATA,4.1140,87.5870,nan,4.1140,87.5870,nan
34,BASELINE,NEW_DATA,3.1946,87.9592,nan,3.1946,87.9592,nan
35,BASELINE,NEW_DATA,4.2135,88.1732,nan,4.2135,88.1732,nan
36,BASELINE,NEW_DATA,4.1948,87.9901,nan,4.1948,87.9901,nan
37,BASELINE,NEW_DATA,4.1018,87.8935,nan,4.1018,87.8935,nan
38,BASELINE,NEW_DATA,3.2640,88.6478,nan,3.2640,88.6478,nan
39,BASELINE,NEW_DATA,4.1608,89.5595,nan,4.1608,89.5595,nan
40,BASELINE,NEW_DATA,4.0103,88.9903,nan,4.0103,88.9903,nan
41,BASELINE,NEW_DATA,3.3216,89.0043,nan,3.3216,89.0043,nan
42,BASELINE,NEW_DATA,3.2005,89.6598,nan,3.2005,89.6598,nan
43,BASELINE,NEW_DATA,4.2100,90.3784,nan,4.2100,90.3784,nan
44,BASELINE,NEW_DATA,3.9465,90.7022,nan,3.9465,90.7022,nan
45,BASELINE,NEW_DATA,3.0649,91.1317,nan,3.0649,91.1317,nan
46,BASELINE,NEW_DATA,3.9499,91.3580,nan,3.9499,91.3580,nan
47,BASELINE,NEW_DATA,4.2100,90.6952,nan,4.2100,90.6952,nan
48,BASELINE,NEW_DATA,3.1884,89.8628,nan,3.1884,89.8628,nan
49,BASELINE,NEW_DATA,3.2664,88.1980,nan,3.2664,88.1980,nan
50,BASELINE,NEW_DATA,4.1816,88.9243,nan,4.1816,88.9243,nan
51,BASELINE,NEW_DATA,3.9843,89.2528,nan,3.9843,89.2528,nan
52,BASELINE,NEW_DATA,3.0889,89.3447,nan,3.0889,89.3447,nan
53,BASELINE,NEW_DATA,3.1062,89.7454,nan,3.1062,89.7454,nan
54,BASELINE,NEW_DATA,3.1343,91.0357,nan,3.1343,91.0357,nan
55,BASELINE,NEW_DATA,4.0436,90.9594,nan,4.0436,90.9594,nan
56,BASELINE,NEW_DATA,4.0332,91.2310,nan,4.0332,91.2310,nan
57,BASELINE,NEW_DATA,3.1062,91.4718,nan,3.1062,91.4718,nan
58,BASELINE,NEW_DATA,3.4714,92.0150,nan,3.4714,92.0150,nan
59,BASELINE,NEW_DATA,3.3444,92.1987,40.6517,3.3444,92.1987,40.6517
60,BASELINE,NEW_DATA,4.0380,92.2635,40.1345,4.0380,92.2635,40.1345
61,BASELINE,NEW_DATA,3.1003,92.2749,39.3087,3.1003,92.2749,39.3087
62,BASELINE,NEW_DATA,3.2716,92.0903,40.3307,3.2716,92.0903,40.3307
63,BASELINE,NEW_DATA,4.1129,91.5466,40.3993,4.1129,91.5466,40.3993
64,BASELINE,NEW_DATA,3.1343,91.7219,41.0153,3.1343,91.7219,41.0153
65,BASELINE,NEW_DATA,3.2938,91.7507,40.7768,3.2938,91.7507,40.7768
66,BASELINE,NEW_DATA,4.1643,92.9140,40.9769,4.1643,92.9140,40.9769
67,BASELINE,NEW_DATA,3.8563,91.2049,41.1271,3.8563,91.2049,41.1271
68,BASELINE,NEW_DATA,3.2141,91.2861,41.5304,3.2141,91.2861,41.5304
69,BASELINE,NEW_DATA,3.4613,91.3018,41.4253,3.4613,91.3018,41.4253
70,BASELINE,NEW_DATA,3.9076,90.6655,42.0085,3.9076,90.6655,42.0085
71,BASELINE,NEW_DATA,3.3184,90.0147,42.1272,3.3184,90.0147,42.1272
72,BASELINE,NEW_DATA,4.1414,89.2706,41.9741,4.1414,89.2706,41.9741
73,BASELINE,NEW_DATA,3.1579,88.2106,43.2150,3.1579,88.2106,43.2150
74,BASELINE,NEW_DATA,3.2095,87.1507,43.4767,3.2095,87.1507,43.4767
75,BASELINE,NEW_DATA,4.1535,86.7858,43.4816,4.1535,86.7858,43.4816
76,BASELINE,NEW_DATA,3.0590,86.8293,43.9518,3.0590,86.8293,43.9518
77,BASELINE,NEW_DATA,3.7356,86.9891,44.7032,3.7356,86.9891,44.7032
78,BASELINE,NEW_DATA,3.4686,87.1126,44.7961,3.4686,87.1126,44.7961
79,BASELINE,NEW_DATA,3.2834,85.8852,43.7726,3.2834,85.8852,43.7726
80,BASELINE,NEW_DATA,4.2711,85.4070,43.7903,4.2711,85.4070,43.7903
81,BASELINE,NEW_DATA,3.9669,84.7942,44.3999,3.9669,84.7942,44.3999
82,BASELINE,NEW_DATA,4.1490,83.2016,44.4851,4.1490,83.2016,44.4851
83,BASELINE,NEW_DATA,2.9262,83.7246,43.4926,2.9262,83.7246,43.4926
84,BASELINE,NEW_DATA,3.1475,84.2813,43.7784,3.1475,84.2813,43.7784
85,BASELINE,NEW_DATA,4.5225,85.2600,43.5235,4.5225,85.2600,43.5235
86,BASELINE,NEW_DATA,3.1898,86.2452,43.2793,3.1898,86.2452,43.2793
87,BASELINE,NEW_DATA,4.7125,86.7399,42.0839,4.7125,86.7399,42.0839
88,BASELINE,NEW_DATA,4.4226,87.8445,41.8095,4.4226,87.8445,41.8095
89,BASELINE,NEW_DATA,3.2744,88.9269,40.9306,3.2744,88.9269,40.9306
90,BASELINE,NEW_DATA,3.2286,89.8425,40.9268,3.2286,89.8425,40.9268
91,BASELINE,NEW_DATA,3.8476,90.9023,40.3702,3.8476,90.9023,40.3702
92,BASELINE,NEW_DATA,4.6387,91.4506,40.4540,4.6387,91.4506,40.4540
93,BASELINE,NEW_DATA,3.7030,91.8003,38.4114,3.7030,91.8003,38.4114
94,BASELINE,NEW_DATA,3.4589,92.3540,37.8292,3.4589,92.3540,37.8292
95,BASELINE,NEW_DATA,4.7767,91.4424,37.7881,4.7767,91.4424,37.7881
96,BASELINE,NEW_DATA,3.2827,92.7261,37.4872,3.2827,92.7261,37.4872
97,BASELINE,NEW_DATA,3.4520,93.4628,36.2785,3.4520,93.4628,36.2785
98,BASELINE,NEW_DATA,4.7843,94.0208,35.2958,4.7843,94.0208,35.2958
99,BASELINE,NEW_DATA,4.4830,94.8818,34.8811,4.4830,94.8818,34.8811
100,BASELINE,NEW_DATA,3.3368,95.5852,34.8738,3.3368,95.5852,34.8738
101,BASELINE,NEW_DATA,4.2482,96.1022,35.1350,4.2482,96.1022,35.1350
102,BASELINE,NEW_DATA,4.7538,97.0223,35.3569,4.7538,97.0223,35.3569
103,BASELINE,NEW_DATA,4.1088,97.3960,35.1016,4.1088,97.3960,35.1016
104,BASELINE,NEW_DATA,3.5962,97.4035,34.9955,3.5962,97.4035,34.9955
105,BASELINE,NEW_DATA,4.9189,97.1646,34.7329,4.9189,97.1646,34.7329
106,BASELINE,NEW_DATA,3.7374,97.3741,35.6070,3.7374,97.3741,35.6070
107,BASELINE,NEW_DATA,3.9791,97.3577,34.1650,3.9791,97.3577,34.1650
108,BASELINE,NEW_DATA,4.5027,97.7036,33.9706,4.5027,97.7036,33.9706
109,BASELINE,NEW_DATA,3.8237,98.7136,33.9395,3.8237,98.7136,33.9395
110,BASELINE,NEW_DATA,4.5554,98.7312,33.9239,4.5554,98.7312,33.9239
111,BASELINE,NEW_DATA,3.9472,98.5129,34.2211,3.9472,98.5129,34.2211
112,BASELINE,NEW_DATA,4.9175,98.4936,34.3139,4.9175,98.4936,34.3139
113,BASELINE,NEW_DATA,5.2254,97.7301,35.3331,5.2254,97.7301,35.3331
