tick_n,phase,status,raw_eda,raw_hr,raw_hrv
1,BASELINE,NEW_DATA,4.9507,nan,nan
2,BASELINE,NEW_DATA,4.9473,nan,nan
3,BASELINE,NEW_DATA,4.9469,nan,nan
4,BASELINE,NEW_DATA,4.9438,nan,nan
5,BASELINE,NEW_DATA,4.9416,nan,nan
6,BASELINE,NEW_DATA,4.9408,nan,nan
7,BASELINE,NEW_DATA,4.9393,nan,nan
8,BASELINE,NEW_DATA,4.9377,nan,nan
9,BASELINE,NEW_DATA,4.9347,nan,nan
10,BASELINE,NEW_DATA,4.9335,nan,nan
11,BASELINE,NEW_DATA,4.9305,nan,nan
12,BASELINE,NEW_DATA,4.9316,nan,nan
13,BASELINE,NEW_DATA,4.9271,nan,nan
14,BASELINE,NEW_DATA,4.9183,nan,nan
15,BASELINE,NEW_DATA,4.9240,nan,nan
16,BASELINE,NEW_DATA,4.9171,110.5991,nan
17,BASELINE,NEW_DATA,4.9198,110.5991,nan
18,BASELINE,NEW_DATA,4.9171,110.5991,nan
19,BASELINE,NEW_DATA,4.9149,110.5991,nan
20,BASELINE,NEW_DATA,4.9137,110.5991,nan
21,BASELINE,NEW_DATA,4.9141,70.5882,nan
22,BASELINE,NEW_DATA,4.9133,70.5882,nan
23,BASELINE,NEW_DATA,4.9133,70.5882,nan
24,BASELINE,NEW_DATA,4.9126,70.5882,nan
25,BASELINE,NEW_DATA,4.9118,70.5882,nan
26,BASELINE,NEW_DATA,4.9088,70.5882,nan
27,BASELINE,NEW_DATA,4.9042,70.5882,nan
28,BASELINE,NEW_DATA,4.8985,70.5882,nan
29,BASELINE,NEW_DATA,4.8996,70.5882,nan
30,BASELINE,NEW_DATA,4.8996,70.5882,nan
31,BASELINE,NEW_DATA,4.8981,70.5882,nan
32,BASELINE,NEW_DATA,4.8988,70.5882,nan
33,BASELINE,NEW_DATA,4.9023,70.5882,nan
34,BASELINE,NEW_DATA,4.8969,70.5882,nan
35,BASELINE,NEW_DATA,4.8962,70.5882,nan
36,BASELINE,NEW_DATA,4.8958,60.7595,nan
37,BASELINE,NEW_DATA,4.8950,60.7595,nan
38,BASELINE,NEW_DATA,4.8943,60.7595,nan
39,BASELINE,NEW_DATA,4.8943,60.7595,nan
40,BASELINE,NEW_DATA,4.8927,71.7132,nan
41,BASELINE,NEW_DATA,4.8912,71.7132,nan
42,BASELINE,NEW_DATA,4.8859,71.7132,nan
43,BASELINE,NEW_DATA,4.8862,71.7132,nan
44,BASELINE,NEW_DATA,4.8874,71.7132,nan
45,BASELINE,NEW_DATA,4.8859,60.7595,nan
46,BASELINE,NEW_DATA,4.8817,60.7595,nan
47,BASELINE,NEW_DATA,4.8790,60.7595,nan
48,BASELINE,NEW_DATA,4.8790,60.7595,nan
49,BASELINE,NEW_DATA,4.8798,60.7595,nan
50,BASELINE,NEW_DATA,4.8813,60.7595,nan
51,BASELINE,NEW_DATA,4.8813,64.1711,nan
52,BASELINE,NEW_DATA,4.8798,66.6667,nan
53,BASELINE,NEW_DATA,4.8801,66.6667,nan
54,BASELINE,NEW_DATA,4.8798,66.6667,nan
55,BASELINE,NEW_DATA,4.8820,66.6667,nan
56,BASELINE,NEW_DATA,4.8775,66.6667,nan
57,BASELINE,NEW_DATA,4.8782,68.1044,nan
58,BASELINE,NEW_DATA,4.8759,68.1044,nan
59,BASELINE,NEW_DATA,4.8775,68.1044,nan
60,BASELINE,NEW_DATA,4.8771,68.1044,nan
61,BASELINE,NEW_DATA,4.8759,68.1044,nan
62,BASELINE,NEW_DATA,4.8763,68.1044,nan
63,BASELINE,NEW_DATA,4.8775,68.1044,nan
64,BASELINE,NEW_DATA,4.8756,68.1044,nan
65,BASELINE,NEW_DATA,4.8740,68.1044,nan
66,BASELINE,NEW_DATA,4.8767,68.1044,nan
67,BASELINE,NEW_DATA,4.8752,69.0979,nan
68,BASELINE,NEW_DATA,4.8737,69.0979,nan
69,BASELINE,NEW_DATA,4.8759,69.0979,nan
70,BASELINE,NEW_DATA,4.8740,69.0979,nan
71,BASELINE,NEW_DATA,4.8744,69.0979,nan
72,BASELINE,NEW_DATA,4.8729,69.9417,nan
73,BASELINE,NEW_DATA,4.8725,69.9417,nan
74,BASELINE,NEW_DATA,4.8691,69.9417,nan
75,BASELINE,NEW_DATA,4.8698,69.9417,nan
76,BASELINE,NEW_DATA,4.8710,69.9417,nan
77,BASELINE,NEW_DATA,4.8729,69.9417,nan
78,BASELINE,NEW_DATA,4.8721,69.9417,nan
79,BASELINE,NEW_DATA,4.8717,69.9417,nan
80,BASELINE,NEW_DATA,4.8706,69.9417,nan
81,BASELINE,NEW_DATA,4.8706,69.9417,nan
82,BASELINE,NEW_DATA,4.8676,70.8487,nan
83,BASELINE,NEW_DATA,4.8691,70.8487,nan
84,BASELINE,NEW_DATA,4.8691,70.8487,nan
85,BASELINE,NEW_DATA,4.8622,70.8487,nan
86,BASELINE,NEW_DATA,4.8630,70.8487,nan
87,BASELINE,NEW_DATA,4.8607,70.8487,nan
88,BASELINE,NEW_DATA,4.8592,70.8487,nan
89,BASELINE,NEW_DATA,4.8584,70.8487,nan
90,BASELINE,NEW_DATA,4.8584,70.8487,nan
91,BASELINE,NEW_DATA,4.8561,71.2871,nan
92,BASELINE,NEW_DATA,4.8637,71.2871,nan
93,BASELINE,NEW_DATA,4.8542,71.2871,nan
94,BASELINE,NEW_DATA,4.8538,71.2871,nan
95,BASELINE,NEW_DATA,4.8553,71.2871,nan
96,BASELINE,NEW_DATA,4.8538,70.8382,nan
97,BASELINE,NEW_DATA,4.8531,70.8382,nan
98,BASELINE,NEW_DATA,4.8519,70.8382,nan
99,BASELINE,NEW_DATA,4.8500,70.8382,nan
100,BASELINE,NEW_DATA,4.8496,70.8382,nan
101,BASELINE,NEW_DATA,4.8515,70.8382,nan
102,BASELINE,NEW_DATA,4.8462,70.8382,nan
103,BASELINE,NEW_DATA,4.8454,70.8382,nan
104,BASELINE,NEW_DATA,4.8454,70.8382,nan
105,BASELINE,NEW_DATA,4.8454,70.8382,nan
106,BASELINE,NEW_DATA,4.8447,69.9153,nan
107,BASELINE,NEW_DATA,4.8439,69.9153,nan
108,BASELINE,NEW_DATA,4.8435,69.9153,nan
109,BASELINE,NEW_DATA,4.8431,69.9153,nan
110,BASELINE,NEW_DATA,4.8416,69.9153,nan
111,BASELINE,NEW_DATA,4.8401,69.9153,nan
112,BASELINE,NEW_DATA,4.8389,69.9153,nan
113,BASELINE,NEW_DATA,4.8401,69.9153,nan
114,BASELINE,NEW_DATA,4.8355,69.9153,nan
115,BASELINE,NEW_DATA,4.8325,69.9153,nan
116,BASELINE,NEW_DATA,4.8325,69.1643,nan
117,BASELINE,NEW_DATA,4.8309,69.1643,nan
118,BASELINE,NEW_DATA,4.8309,69.1643,nan
119,BASELINE,NEW_DATA,4.8294,69.1643,nan
120,BASELINE,NEW_DATA,4.8309,69.1643,nan
121,BASELINE,NEW_DATA,4.8267,69.1643,nan
122,BASELINE,NEW_DATA,4.8279,69.1643,nan
123,BASELINE,NEW_DATA,4.8275,69.1643,nan
124,BASELINE,NEW_DATA,4.8279,69.1643,nan
125,BASELINE,NEW_DATA,4.8283,69.1643,nan
126,BASELINE,NEW_DATA,4.8279,68.9046,nan
127,BASELINE,NEW_DATA,4.8264,68.9046,nan
128,BASELINE,NEW_DATA,4.8264,68.9046,nan
129,BASELINE,NEW_DATA,4.8283,68.9046,nan
130,BASELINE,NEW_DATA,4.8248,68.9046,nan
131,BASELINE,NEW_DATA,4.8279,68.9046,nan
132,BASELINE,NEW_DATA,4.8248,68.9046,nan
133,BASELINE,NEW_DATA,4.8233,68.9046,nan
134,BASELINE,NEW_DATA,4.8233,68.9046,nan
135,BASELINE,NEW_DATA,4.8233,68.9046,nan
136,BASELINE,NEW_DATA,4.8203,68.2649,nan
137,BASELINE,NEW_DATA,4.8172,68.2649,nan
138,BASELINE,NEW_DATA,4.8145,68.2649,nan
139,BASELINE,NEW_DATA,4.8218,68.2649,nan
140,BASELINE,NEW_DATA,4.8126,68.2649,nan
141,BASELINE,NEW_DATA,4.8115,68.2649,nan
142,BASELINE,NEW_DATA,4.8111,68.2649,nan
143,BASELINE,NEW_DATA,4.8065,68.2649,nan
144,BASELINE,NEW_DATA,4.8058,68.2649,nan
145,BASELINE,NEW_DATA,4.8050,68.2649,nan
146,BASELINE,NEW_DATA,4.8035,67.7201,nan
147,BASELINE,NEW_DATA,4.8035,67.7201,nan
148,BASELINE,NEW_DATA,4.8019,67.7201,nan
149,BASELINE,NEW_DATA,4.8035,67.7201,nan
150,BASELINE,NEW_DATA,4.8023,67.7201,nan
151,BASELINE,NEW_DATA,4.8004,67.7201,nan
152,BASELINE,NEW_DATA,4.7989,67.7201,nan
153,BASELINE,NEW_DATA,4.7989,67.7201,nan
154,BASELINE,NEW_DATA,4.7981,67.7201,nan
155,BASELINE,NEW_DATA,4.7977,67.7201,nan
156,BASELINE,NEW_DATA,4.7958,67.6056,nan
157,BASELINE,NEW_DATA,4.7943,67.6056,nan
158,BASELINE,NEW_DATA,4.7935,67.6056,nan
159,BASELINE,NEW_DATA,4.7920,67.6056,nan
160,BASELINE,NEW_DATA,4.7924,67.6056,nan
161,BASELINE,NEW_DATA,4.7882,67.6056,nan
162,BASELINE,NEW_DATA,4.7859,67.6056,nan
163,BASELINE,NEW_DATA,4.7836,67.6056,nan
164,BASELINE,NEW_DATA,4.7840,67.6056,nan
165,BASELINE,NEW_DATA,4.7829,67.6056,nan
166,BASELINE,NEW_DATA,4.7840,67.7741,nan
167,BASELINE,NEW_DATA,4.7810,67.7741,nan
168,BASELINE,NEW_DATA,4.7813,67.7741,nan
169,BASELINE,NEW_DATA,4.7821,67.7741,nan
170,BASELINE,NEW_DATA,4.7813,67.7741,nan
171,BASELINE,NEW_DATA,4.7825,68.0529,nan
172,BASELINE,NEW_DATA,4.7806,68.0529,nan
173,BASELINE,NEW_DATA,4.7806,68.0529,nan
174,BASELINE,NEW_DATA,4.7806,68.0529,nan
175,BASELINE,NEW_DATA,4.7798,68.0529,nan
