tick_n,phase,status,raw_eda,raw_hr,raw_hrv
1,BASELINE,NEW_DATA,20.689400,nan,nan
2,BASELINE,NEW_DATA,20.689400,nan,nan
3,BASELINE,NEW_DATA,20.689400,nan,nan
4,BASELINE,NEW_DATA,20.689400,nan,nan
5,BASELINE,NEW_DATA,20.689400,nan,nan
6,BASELINE,NEW_DATA,20.689400,nan,nan
7,BASELINE,NEW_DATA,20.689400,nan,nan
8,BASELINE,NEW_DATA,20.657000,nan,nan
9,BASELINE,NEW_DATA,20.657000,nan,nan
10,BASELINE,NEW_DATA,20.657000,nan,nan
11,BASELINE,NEW_DATA,20.657000,nan,nan
12,BASELINE,NEW_DATA,20.657000,nan,nan
13,BASELINE,NEW_DATA,20.657000,nan,nan
14,BASELINE,NEW_DATA,20.657000,nan,nan
15,BASELINE,NEW_DATA,20.657000,nan,nan
16,BASELINE,NEW_DATA,20.592899,nan,nan
17,BASELINE,NEW_DATA,20.592899,nan,nan
18,BASELINE,NEW_DATA,20.592899,nan,nan
19,BASELINE,NEW_DATA,20.592899,nan,nan
20,BASELINE,NEW_DATA,20.592899,nan,nan
21,BASELINE,NEW_DATA,20.581100,nan,nan
22,BASELINE,NEW_DATA,20.564301,nan,nan
23,BASELINE,NEW_DATA,20.564301,nan,nan
24,BASELINE,NEW_DATA,20.564301,nan,nan
25,BASELINE,NEW_DATA,20.564301,nan,nan
26,BASELINE,NEW_DATA,20.564301,nan,nan
27,BASELINE,NEW_DATA,20.526100,nan,nan
28,BASELINE,NEW_DATA,20.500900,nan,nan
29,BASELINE,NEW_DATA,20.500900,nan,nan
30,BASELINE,NEW_DATA,20.500900,nan,nan
31,BASELINE,NEW_DATA,20.500900,nan,nan
32,BASELINE,NEW_DATA,20.412800,nan,nan
33,BASELINE,NEW_DATA,20.481899,nan,nan
34,BASELINE,NEW_DATA,20.412800,nan,nan
35,BASELINE,NEW_DATA,20.481899,nan,nan
36,BASELINE,NEW_DATA,20.412800,nan,nan
37,BASELINE,NEW_DATA,20.412800,nan,nan
38,BASELINE,NEW_DATA,20.412800,nan,nan
39,BASELINE,NEW_DATA,20.428801,nan,nan
40,BASELINE,NEW_DATA,20.428801,nan,nan
41,BASELINE,NEW_DATA,20.412800,nan,nan
42,BASELINE,NEW_DATA,20.385700,nan,nan
43,BASELINE,NEW_DATA,20.357500,nan,nan
44,BASELINE,NEW_DATA,20.428801,nan,nan
45,BASELINE,NEW_DATA,20.428801,nan,nan
46,BASELINE,NEW_DATA,20.428801,nan,nan
47,BASELINE,NEW_DATA,20.428801,nan,nan
48,BASELINE,NEW_DATA,20.357500,nan,nan
49,BASELINE,NEW_DATA,20.428801,nan,nan
50,BASELINE,NEW_DATA,20.385700,nan,nan
51,BASELINE,NEW_DATA,20.385700,nan,nan
52,BASELINE,NEW_DATA,20.385700,nan,nan
53,BASELINE,NEW_DATA,20.314400,nan,nan
54,BASELINE,NEW_DATA,20.314400,nan,nan
55,BASELINE,NEW_DATA,20.336901,nan,nan
56,BASELINE,NEW_DATA,20.314400,nan,nan
57,BASELINE,NEW_DATA,20.336901,nan,nan
58,BASELINE,NEW_DATA,20.336901,nan,nan
59,BASELINE,NEW_DATA,20.336901,nan,nan
60,BASELINE,NEW_DATA,20.336901,nan,nan
61,BASELINE,NEW_DATA,20.259100,nan,nan
62,BASELINE,NEW_DATA,20.274000,nan,nan
63,BASELINE,NEW_DATA,20.275900,nan,nan
64,BASELINE,NEW_DATA,20.253000,nan,nan
65,BASELINE,NEW_DATA,20.259100,nan,nan
66,BASELINE,NEW_DATA,20.253000,nan,nan
67,BASELINE,NEW_DATA,20.251101,67.805290,nan
68,BASELINE,NEW_DATA,20.253000,nan,nan
69,BASELINE,NEW_DATA,20.307899,67.805290,nan
70,BASELINE,NEW_DATA,20.251101,67.805290,nan
71,BASELINE,NEW_DATA,20.254101,67.805290,nan
72,BASELINE,NEW_DATA,20.254101,67.805290,nan
73,BASELINE,NEW_DATA,20.312500,67.805290,nan
74,BASELINE,NEW_DATA,20.307899,67.805290,nan
75,BASELINE,NEW_DATA,20.307899,67.805290,nan
76,BASELINE,NEW_DATA,20.312500,67.805290,nan
77,BASELINE,NEW_DATA,20.616899,69.583229,nan
78,BASELINE,NEW_DATA,20.339199,67.805290,nan
79,BASELINE,NEW_DATA,20.391800,67.805290,nan
80,BASELINE,NEW_DATA,20.391800,67.805290,nan
81,BASELINE,NEW_DATA,20.391800,67.805290,nan
82,BASELINE,NEW_DATA,20.616899,69.583229,nan
83,BASELINE,NEW_DATA,21.028099,71.431564,nan
84,BASELINE,NEW_DATA,21.134899,71.431564,nan
85,BASELINE,NEW_DATA,20.759600,69.583229,nan
86,BASELINE,NEW_DATA,20.894199,71.431564,nan
87,BASELINE,NEW_DATA,21.028099,71.431564,nan
88,BASELINE,NEW_DATA,21.028099,71.431564,nan
89,BASELINE,NEW_DATA,21.459200,74.172005,nan
90,BASELINE,NEW_DATA,21.250900,74.172005,nan
91,BASELINE,NEW_DATA,21.487000,74.172005,nan
92,BASELINE,NEW_DATA,21.327200,74.172005,nan
93,BASELINE,NEW_DATA,21.459200,74.172005,nan
94,BASELINE,NEW_DATA,21.459200,74.172005,nan
95,BASELINE,NEW_DATA,21.459200,74.172005,nan
96,BASELINE,NEW_DATA,21.521000,74.172005,nan
97,BASELINE,NEW_DATA,21.521000,74.172005,nan
98,BASELINE,NEW_DATA,21.521000,74.172005,nan
99,BASELINE,NEW_DATA,21.731199,76.154846,nan
100,BASELINE,NEW_DATA,22.055099,77.978012,nan
101,BASELINE,NEW_DATA,21.572901,76.154846,nan
102,BASELINE,NEW_DATA,21.731199,76.154846,nan
103,BASELINE,NEW_DATA,21.626301,76.154846,nan
104,BASELINE,NEW_DATA,21.626301,76.154846,nan
105,BASELINE,NEW_DATA,22.131300,78.840309,nan
106,BASELINE,NEW_DATA,22.181700,78.840309,nan
107,BASELINE,NEW_DATA,21.926500,77.978012,nan
108,BASELINE,NEW_DATA,22.192400,78.840309,nan
109,BASELINE,NEW_DATA,22.175600,78.840309,nan
110,BASELINE,NEW_DATA,22.055099,77.978012,nan
111,BASELINE,NEW_DATA,22.131300,78.840309,nan
112,BASELINE,NEW_DATA,22.181700,78.840309,nan
113,BASELINE,NEW_DATA,22.170601,78.840309,nan
114,BASELINE,NEW_DATA,22.192400,78.840309,nan
115,BASELINE,NEW_DATA,22.070299,78.912384,nan
116,BASELINE,NEW_DATA,22.175600,78.840309,nan
117,BASELINE,NEW_DATA,22.029100,78.912384,nan
118,BASELINE,NEW_DATA,22.181700,78.840309,nan
119,BASELINE,NEW_DATA,22.169500,78.840309,nan
120,BASELINE,NEW_DATA,22.070299,78.912384,nan
121,BASELINE,NEW_DATA,22.119101,78.840309,nan
122,BASELINE,NEW_DATA,22.112301,78.912384,nan
123,BASELINE,NEW_DATA,22.112301,78.912384,nan
124,BASELINE,NEW_DATA,21.676600,78.783745,nan
125,BASELINE,NEW_DATA,21.926500,78.912384,nan
126,BASELINE,NEW_DATA,21.584299,78.593216,nan
127,BASELINE,NEW_DATA,22.029100,78.912384,nan
128,BASELINE,NEW_DATA,22.029100,78.912384,nan
129,BASELINE,NEW_DATA,21.950500,78.912384,nan
130,BASELINE,NEW_DATA,21.322599,78.585121,nan
131,BASELINE,NEW_DATA,21.676600,78.783745,nan
132,BASELINE,NEW_DATA,21.398500,78.593216,nan
133,BASELINE,NEW_DATA,21.802500,78.783745,nan
134,BASELINE,NEW_DATA,21.802500,78.783745,nan
135,BASELINE,NEW_DATA,21.322599,78.585121,nan
136,BASELINE,NEW_DATA,21.676600,78.783745,nan
137,BASELINE,NEW_DATA,21.676600,78.783745,nan
138,BASELINE,NEW_DATA,21.205099,79.299400,nan
139,BASELINE,NEW_DATA,21.584299,78.593216,nan
140,BASELINE,NEW_DATA,21.532801,78.593216,nan
141,BASELINE,NEW_DATA,21.532801,78.593216,nan
142,BASELINE,NEW_DATA,21.532801,78.593216,nan
143,BASELINE,NEW_DATA,21.495100,78.593216,nan
144,BASELINE,NEW_DATA,21.322599,78.585121,nan
145,BASELINE,NEW_DATA,21.441999,78.593216,nan
146,BASELINE,NEW_DATA,21.398500,78.593216,nan
147,BASELINE,NEW_DATA,21.208200,79.299400,nan
148,BASELINE,NEW_DATA,21.325701,78.585121,nan
149,BASELINE,NEW_DATA,21.322599,78.585121,nan
150,BASELINE,NEW_DATA,21.167000,79.299400,nan
151,BASELINE,NEW_DATA,21.322599,78.585121,nan
152,BASELINE,NEW_DATA,21.327200,81.890038,nan
153,BASELINE,NEW_DATA,21.327200,81.890038,nan
154,BASELINE,NEW_DATA,21.273399,78.926201,nan
155,BASELINE,NEW_DATA,21.305799,81.964119,nan
156,BASELINE,NEW_DATA,21.191799,78.926201,nan
157,BASELINE,NEW_DATA,21.346701,81.964119,nan
158,BASELINE,NEW_DATA,21.284500,81.964119,nan
159,BASELINE,NEW_DATA,21.208200,79.299400,nan
160,BASELINE,NEW_DATA,21.208200,79.299400,nan
161,BASELINE,NEW_DATA,21.218500,79.299400,nan
162,BASELINE,NEW_DATA,21.119699,80.863892,nan
163,BASELINE,NEW_DATA,21.201300,81.993172,nan
164,BASELINE,NEW_DATA,21.138000,80.107895,nan
165,BASELINE,NEW_DATA,21.250900,81.536797,nan
166,BASELINE,NEW_DATA,21.163900,80.107895,nan
167,BASELINE,NEW_DATA,21.180700,80.107895,nan
168,BASELINE,NEW_DATA,21.180700,80.107895,nan
169,BASELINE,NEW_DATA,21.138000,80.107895,nan
170,BASELINE,NEW_DATA,21.163900,80.107895,nan
171,BASELINE,NEW_DATA,21.163900,80.107895,nan
172,BASELINE,NEW_DATA,21.163900,80.107895,nan
173,BASELINE,NEW_DATA,21.305799,81.964119,nan
174,BASELINE,NEW_DATA,21.250900,81.536797,nan
175,BASELINE,NEW_DATA,21.119699,80.863892,nan
176,BASELINE,NEW_DATA,21.119699,80.863892,nan
177,BASELINE,NEW_DATA,21.346701,81.964119,nan
178,BASELINE,NEW_DATA,21.346701,81.964119,nan
179,BASELINE,NEW_DATA,21.580500,82.197502,nan
180,BASELINE,NEW_DATA,21.238701,82.197502,nan
181,BASELINE,NEW_DATA,21.357700,81.536797,nan
182,BASELINE,NEW_DATA,21.160900,82.058670,nan
183,BASELINE,NEW_DATA,21.816299,82.197502,nan
184,BASELINE,NEW_DATA,21.365000,82.197502,nan
185,BASELINE,NEW_DATA,21.353100,81.890038,nan
186,BASELINE,NEW_DATA,21.339399,81.536797,nan
187,BASELINE,NEW_DATA,21.255501,81.993172,nan
