time,normEDA,normHRV,normHR,s_instant,s_t,height
1193.0000,8.5610,18.9880,27.5396,15.4848,,
1194.0000,8.9105,18.9880,27.2814,15.6079,,
1195.0000,8.8834,18.9880,27.2814,15.5944,,
1196.0000,6.5838,17.9809,25.7821,13.8426,,
1197.0000,8.5610,18.9880,27.5396,15.4848,,
1198.0000,6.0415,17.9809,25.3158,13.4782,,
1199.0000,8.3642,17.3181,27.1394,14.8054,,
1200.0000,8.3642,17.3181,27.1394,14.8054,,
1201.0000,8.4233,17.3181,27.1394,14.8350,,
1202.0000,8.4233,17.3181,27.1394,14.8350,,
1203.0000,5.7587,17.1193,24.5900,12.9331,,
1204.0000,8.2801,16.8345,26.4299,14.4764,,
1205.0000,5.8047,17.9809,25.3158,13.3598,,
1206.0000,8.0663,16.8345,26.4299,14.3695,,
1207.0000,8.0203,16.8345,26.4299,14.3465,,
1208.0000,7.1415,16.2100,26.3694,13.7077,,
1209.0000,5.7587,17.1193,24.5900,12.9331,,
1210.0000,6.6834,16.2100,26.3694,13.4786,,
1211.0000,7.1646,17.5020,26.6295,14.1588,,
1212.0000,7.1415,16.2100,26.3694,13.7077,,
1213.0000,4.7963,13.5986,24.1044,11.2986,,
1214.0000,7.1415,16.2100,26.3694,13.7077,,
1215.0000,7.0004,16.2100,26.3694,13.6371,,
1216.0000,6.6834,16.2100,26.3694,13.4786,,
1217.0000,6.8972,16.2100,26.3694,13.5855,,
1218.0000,6.8972,16.2100,26.3694,13.5855,,
1219.0000,6.7405,17.5020,26.3694,13.8947,,
1220.0000,4.6131,13.5986,24.1044,11.2070,,
1221.0000,6.7405,17.5020,26.3694,13.8947,,
1222.0000,6.5002,17.5020,26.3694,13.7746,,
1223.0000,6.7065,18.0321,26.0222,13.9673,,
1224.0000,6.7065,18.0321,26.0222,13.9673,,
1225.0000,4.5520,12.8152,24.1896,10.9585,,
1226.0000,6.7981,18.0321,26.0222,14.0131,,
1227.0000,6.7290,17.9809,25.7821,13.9152,,
1228.0000,4.2766,12.8152,24.0812,10.7991,,
1229.0000,6.4942,17.9809,25.7821,13.7978,,
1230.0000,4.5520,11.0481,23.2807,10.2466,,
1231.0000,6.0415,17.9809,25.3158,13.4782,,
1232.0000,6.4691,17.9809,25.7126,13.7714,,
1233.0000,6.1712,17.9809,25.7126,13.6224,,
1234.0000,6.1712,17.9809,25.7126,13.6224,,
1235.0000,5.5794,11.0481,23.2807,10.7603,,
1236.0000,9.2424,3.4937,22.3448,10.1383,,
1237.0000,6.3470,11.0481,23.2807,11.1441,,
1238.0000,7.5827,3.4937,22.3448,9.3084,,
1239.0000,5.9880,17.9809,25.3158,13.4514,,
1240.0000,8.2646,3.4937,22.3448,9.6494,,
1241.0000,5.7587,17.1193,24.5900,12.9331,,
1242.0000,5.7587,17.1193,24.5900,12.9331,13.2957,
1243.0000,5.4227,17.1193,24.5900,12.7651,13.2413,
1244.0000,5.1784,16.7409,24.4439,12.5002,13.1792,
1245.0000,5.1784,16.7409,24.4439,12.5002,13.1173,
1246.0000,5.1383,16.7409,24.4439,12.4802,13.0900,
1247.0000,5.1784,16.7409,24.4439,12.5002,13.0303,
1248.0000,5.1784,16.7409,24.4439,12.5002,13.0108,
1249.0000,5.1018,13.5986,24.1044,11.4514,12.9437,
1250.0000,4.9415,13.5986,24.1044,11.3712,12.8750,
1251.0000,4.6131,13.5986,24.1044,11.2070,12.8025,
