tick_n,phase,status,raw_eda,raw_hr,raw_hrv
1,BASELINE,NEW_DATA,4.9492,nan,nan
2,BASELINE,NEW_DATA,4.9454,nan,nan
3,BASELINE,NEW_DATA,4.9446,nan,nan
4,BASELINE,NEW_DATA,4.9416,nan,nan
5,BASELINE,NEW_DATA,4.9408,nan,nan
6,BASELINE,NEW_DATA,4.9385,nan,nan
7,BASELINE,NEW_DATA,4.9385,nan,nan
8,BASELINE,NEW_DATA,4.9362,nan,nan
9,BASELINE,NEW_DATA,4.9332,nan,nan
10,BASELINE,NEW_DATA,4.9332,nan,nan
11,BASELINE,NEW_DATA,4.9324,nan,nan
12,BASELINE,NEW_DATA,4.9290,nan,nan
13,BASELINE,NEW_DATA,4.9255,nan,nan
14,BASELINE,NEW_DATA,4.9217,nan,nan
15,BASELINE,NEW_DATA,4.9252,nan,nan
16,BASELINE,NEW_DATA,4.9213,nan,nan
17,BASELINE,NEW_DATA,4.9210,nan,nan
18,BASELINE,NEW_DATA,4.9202,nan,nan
19,BASELINE,NEW_DATA,4.9210,nan,nan
20,BASELINE,NEW_DATA,4.9168,nan,nan
21,BASELINE,NEW_DATA,4.9149,nan,nan
22,BASELINE,NEW_DATA,4.9156,nan,nan
23,BASELINE,NEW_DATA,4.9156,nan,nan
24,BASELINE,NEW_DATA,4.9149,nan,nan
25,BASELINE,NEW_DATA,4.9156,nan,nan
26,BASELINE,NEW_DATA,4.9103,nan,nan
27,BASELINE,NEW_DATA,4.9042,nan,nan
28,BASELINE,NEW_DATA,4.9011,nan,nan
29,BASELINE,NEW_DATA,4.8973,nan,nan
30,BASELINE,NEW_DATA,4.8981,nan,nan
31,BASELINE,NEW_DATA,4.9004,74.6197,nan
32,BASELINE,NEW_DATA,4.8965,74.6197,nan
33,BASELINE,NEW_DATA,4.9000,74.6197,nan
34,BASELINE,NEW_DATA,4.8935,74.6197,nan
35,BASELINE,NEW_DATA,4.8950,74.6197,nan
36,BASELINE,NEW_DATA,4.8927,74.6197,nan
37,BASELINE,NEW_DATA,4.8950,74.6197,nan
38,BASELINE,NEW_DATA,4.8943,74.6197,nan
39,BASELINE,NEW_DATA,4.8927,74.6197,nan
40,BASELINE,NEW_DATA,4.8904,74.6197,nan
