timestamp,kind,command,state,s_t,gate_open
2026-06-09 14:15:01.811,lifecycle,start,,,0
2026-06-09 14:15:03.355,state,increase,calm,-0.3008,1
2026-06-09 14:15:04.459,state,increase,calm,-0.2747,1
2026-06-09 14:15:05.555,state,increase,calm,-0.3755,1
2026-06-09 14:15:06.653,state,increase,calm,-0.3895,1
2026-06-09 14:15:07.746,state,increase,calm,-0.5408,1
2026-06-09 14:15:08.844,state,increase,calm,-0.6867,1
2026-06-09 14:15:09.947,state,increase,calm,-0.8171,1
2026-06-09 14:15:11.043,state,increase,calm,-0.9167,1
2026-06-09 14:15:12.128,state,increase,calm,-0.9312,1
2026-06-09 14:15:13.221,state,increase,calm,-0.8980,1
2026-06-09 14:15:14.317,state,increase,calm,-0.9094,1
2026-06-09 14:15:15.360,state,increase,calm,-0.9229,1
2026-06-09 14:15:16.364,state,increase,calm,-0.9495,1
2026-06-09 14:15:17.373,state,increase,calm,-0.8851,1
2026-06-09 14:15:18.381,state,increase,calm,-0.7392,1
2026-06-09 14:15:19.390,state,increase,calm,-0.6515,1
2026-06-09 14:15:20.396,state,increase,calm,-0.6885,1
2026-06-09 14:15:21.401,state,increase,calm,-0.7823,1
2026-06-09 14:15:22.409,state,increase,calm,-0.5505,1
2026-06-09 14:15:23.419,state,increase,calm,-0.4873,1
2026-06-09 14:15:24.425,state,increase,calm,-0.4188,1
2026-06-09 14:15:25.434,state,increase,calm,-0.3802,1
2026-06-09 14:15:26.439,state,increase,calm,-0.3674,1
2026-06-09 14:15:27.449,state,increase,calm,-0.2792,1
2026-06-09 14:15:28.456,state,increase,calm,-0.2405,1
2026-06-09 14:15:29.464,state,increase,calm,-0.2200,1
2026-06-09 14:15:30.473,state,increase,calm,-0.2273,1
2026-06-09 14:15:31.479,state,increase,calm,-0.1635,1
2026-06-09 14:15:32.485,state,increase,calm,-0.0657,1
2026-06-09 14:15:33.491,state,increase,calm,-0.3152,1
2026-06-09 14:15:34.498,state,increase,calm,-0.2910,1
2026-06-09 14:15:35.507,state,increase,calm,-0.2675,1
2026-06-09 14:15:36.513,state,increase,calm,-0.1757,1
2026-06-09 14:15:37.522,state,increase,calm,-0.1847,1
2026-06-09 14:15:38.529,state,increase,calm,-0.2817,1
2026-06-09 14:15:39.534,state,increase,calm,-0.1558,1
2026-06-09 14:15:40.544,state,increase,calm,-0.1204,1
2026-06-09 14:15:41.551,state,increase,calm,-0.0700,1
2026-06-09 14:15:42.560,state,increase,calm,-0.0544,1
2026-06-09 14:15:43.568,state,increase,calm,-0.2448,1
2026-06-09 14:15:44.574,state,increase,calm,-0.3934,1
2026-06-09 14:15:45.579,state,increase,calm,-0.3535,1
2026-06-09 14:15:46.586,state,increase,calm,-0.2412,1
2026-06-09 14:15:47.595,state,increase,calm,-0.1398,1
2026-06-09 14:15:48.601,state,increase,calm,-0.1419,1
2026-06-09 14:15:49.607,state,increase,calm,0.0368,1
2026-06-09 14:15:50.615,state,increase,calm,0.1211,1
2026-06-09 14:15:51.621,state,increase,calm,-0.0156,1
2026-06-09 14:15:52.629,state,increase,calm,-0.0259,1
2026-06-09 14:15:53.637,state,increase,calm,-0.2288,1
2026-06-09 14:15:54.643,state,increase,calm,-0.3460,1
2026-06-09 14:15:55.651,state,increase,calm,-0.3912,1
2026-06-09 14:15:56.657,state,increase,calm,-0.5271,1
2026-06-09 14:15:57.664,state,increase,calm,-0.5242,1
