tick_n,phase,status,raw_eda,raw_hr,raw_hrv
1,BASELINE,NEW_DATA,24.999619,nan,nan
2,BASELINE,NEW_DATA,24.999619,nan,nan
3,BASELINE,NEW_DATA,24.999619,nan,nan
4,BASELINE,NEW_DATA,24.999619,nan,nan
5,BASELINE,NEW_DATA,24.999619,nan,nan
6,BASELINE,NEW_DATA,24.999619,nan,nan
7,BASELINE,NEW_DATA,24.999619,nan,nan
8,BASELINE,NEW_DATA,24.999619,nan,nan
9,BASELINE,NEW_DATA,24.999619,nan,nan
10,BASELINE,NEW_DATA,24.999619,nan,nan
11,BASELINE,NEW_DATA,24.999619,nan,nan
12,BASELINE,NEW_DATA,24.999619,nan,nan
13,BASELINE,NEW_DATA,24.999619,nan,nan
14,BASELINE,NEW_DATA,24.999619,nan,nan
15,BASELINE,NEW_DATA,24.999619,nan,nan
16,BASELINE,NEW_DATA,24.999619,nan,nan
17,BASELINE,NEW_DATA,24.999619,nan,nan
18,BASELINE,NEW_DATA,24.999619,nan,nan
19,BASELINE,NEW_DATA,24.999619,nan,nan
20,BASELINE,NEW_DATA,24.999619,nan,nan
21,BASELINE,NEW_DATA,24.999619,nan,nan
22,BASELINE,NEW_DATA,24.999619,nan,nan
23,BASELINE,NEW_DATA,24.999619,nan,nan
24,BASELINE,NEW_DATA,24.999619,nan,nan
25,BASELINE,NEW_DATA,24.999619,nan,nan
26,BASELINE,NEW_DATA,24.999619,nan,nan
27,BASELINE,NEW_DATA,24.999619,nan,nan
28,BASELINE,NEW_DATA,24.999619,63.688400,nan
29,BASELINE,NEW_DATA,24.999619,63.688400,nan
30,BASELINE,NEW_DATA,24.999619,63.688400,nan
31,BASELINE,NEW_DATA,24.999619,63.688400,nan
32,BASELINE,NEW_DATA,24.999619,63.688400,nan
33,BASELINE,NEW_DATA,24.999619,63.688400,nan
34,BASELINE,NEW_DATA,24.999619,63.688400,nan
35,BASELINE,NEW_DATA,24.999619,63.688400,nan
36,BASELINE,NEW_DATA,24.999619,63.688400,nan
37,BASELINE,NEW_DATA,24.999619,63.688400,nan
38,BASELINE,NEW_DATA,24.999619,61.284641,nan
39,BASELINE,NEW_DATA,24.999619,61.284641,nan
40,BASELINE,NEW_DATA,24.999619,61.284641,nan
41,BASELINE,NEW_DATA,24.999619,61.284641,nan
42,BASELINE,NEW_DATA,24.999619,61.284641,nan
43,BASELINE,NEW_DATA,24.999619,61.284641,nan
44,BASELINE,NEW_DATA,24.999619,61.284641,nan
45,BASELINE,NEW_DATA,24.999619,61.284641,nan
46,BASELINE,NEW_DATA,24.999619,61.284641,nan
47,BASELINE,NEW_DATA,24.999619,60.013969,nan
48,BASELINE,NEW_DATA,24.999619,60.013969,nan
49,BASELINE,NEW_DATA,24.999619,60.013969,nan
50,BASELINE,NEW_DATA,24.999619,60.013969,nan
51,BASELINE,NEW_DATA,24.999619,60.013969,nan
52,BASELINE,NEW_DATA,24.999619,60.013969,nan
53,BASELINE,NEW_DATA,24.999619,60.013969,nan
54,BASELINE,NEW_DATA,24.999619,60.013969,nan
55,BASELINE,NEW_DATA,24.999619,60.013969,nan
56,BASELINE,NEW_DATA,24.999619,60.277077,nan
57,BASELINE,NEW_DATA,24.999619,60.277077,nan
58,BASELINE,NEW_DATA,24.999619,60.277077,nan
59,BASELINE,NEW_DATA,24.999619,60.277077,nan
60,BASELINE,NEW_DATA,24.999619,60.277077,nan
61,BASELINE,NEW_DATA,24.999619,60.277077,nan
62,BASELINE,NEW_DATA,24.999619,60.277077,nan
63,BASELINE,NEW_DATA,24.999619,60.277077,nan
64,BASELINE,NEW_DATA,24.999619,60.277077,nan
65,BASELINE,NEW_DATA,24.999619,59.913265,nan
66,BASELINE,NEW_DATA,24.999619,59.913265,nan
67,BASELINE,NEW_DATA,24.999619,59.913265,nan
68,BASELINE,NEW_DATA,24.999619,59.913265,nan
69,BASELINE,NEW_DATA,24.999619,59.913265,nan
70,BASELINE,NEW_DATA,24.999619,59.913265,nan
71,BASELINE,NEW_DATA,24.999619,59.913265,nan
72,BASELINE,NEW_DATA,24.999619,59.913265,nan
73,BASELINE,NEW_DATA,24.999619,59.913265,nan
74,BASELINE,NEW_DATA,24.999619,59.482224,nan
75,BASELINE,NEW_DATA,24.999619,59.482224,nan
76,BASELINE,NEW_DATA,24.999619,59.482224,nan
77,BASELINE,NEW_DATA,24.999619,59.482224,nan
78,BASELINE,NEW_DATA,24.999619,59.482224,nan
79,BASELINE,NEW_DATA,24.999619,59.482224,nan
80,BASELINE,NEW_DATA,24.999619,59.482224,nan
81,BASELINE,NEW_DATA,24.999619,59.482224,nan
82,BASELINE,NEW_DATA,24.999619,59.482224,nan
83,BASELINE,NEW_DATA,24.999619,60.055878,nan
84,BASELINE,NEW_DATA,24.999619,60.055878,nan
85,BASELINE,NEW_DATA,24.999619,60.055878,nan
86,BASELINE,NEW_DATA,24.999619,60.055878,nan
87,BASELINE,NEW_DATA,24.999619,60.055878,nan
88,BASELINE,NEW_DATA,24.999619,60.055878,nan
89,BASELINE,NEW_DATA,24.999619,60.055878,nan
90,BASELINE,NEW_DATA,24.999619,60.055878,nan
91,BASELINE,NEW_DATA,24.999619,60.055878,nan
92,BASELINE,NEW_DATA,24.999619,60.315212,nan
93,BASELINE,NEW_DATA,24.999619,60.315212,nan
94,BASELINE,NEW_DATA,24.999619,60.315212,nan
95,BASELINE,NEW_DATA,24.999619,60.315212,nan
96,BASELINE,NEW_DATA,24.999619,60.315212,nan
97,BASELINE,NEW_DATA,24.999619,60.315212,nan
98,BASELINE,NEW_DATA,24.999619,60.315212,nan
99,BASELINE,NEW_DATA,24.999619,60.315212,nan
100,BASELINE,NEW_DATA,24.999619,60.315212,nan
101,BASELINE,NEW_DATA,24.999619,60.533188,nan
102,BASELINE,NEW_DATA,24.999619,60.533188,nan
103,BASELINE,NEW_DATA,24.999619,60.533188,nan
104,BASELINE,NEW_DATA,24.999619,60.533188,nan
105,BASELINE,NEW_DATA,24.999619,60.533188,nan
106,BASELINE,NEW_DATA,24.999619,60.533188,nan
107,BASELINE,NEW_DATA,24.999619,60.533188,nan
108,BASELINE,NEW_DATA,24.999619,60.533188,nan
109,BASELINE,NEW_DATA,24.999619,60.533188,nan
110,BASELINE,NEW_DATA,24.999619,61.198906,nan
111,BASELINE,NEW_DATA,24.999619,61.198906,nan
112,BASELINE,NEW_DATA,24.999619,61.198906,nan
113,BASELINE,NEW_DATA,24.999619,61.198906,nan
114,BASELINE,NEW_DATA,24.999619,61.198906,nan
115,BASELINE,NEW_DATA,24.999619,62.179054,nan
116,BASELINE,NEW_DATA,24.999619,62.179054,nan
117,BASELINE,NEW_DATA,24.999619,62.179054,nan
118,BASELINE,NEW_DATA,24.999619,62.179054,nan
119,BASELINE,NEW_DATA,24.999619,62.179054,nan
120,BASELINE,NEW_DATA,24.999619,62.179054,nan
121,BASELINE,NEW_DATA,24.999619,62.179054,nan
122,BASELINE,NEW_DATA,24.999619,62.179054,nan
123,BASELINE,NEW_DATA,24.999619,62.179054,nan
124,BASELINE,NEW_DATA,24.999619,62.443195,nan
125,BASELINE,NEW_DATA,24.999619,62.443195,nan
126,BASELINE,NEW_DATA,24.999619,62.443195,nan
127,BASELINE,NEW_DATA,24.999619,62.443195,nan
128,BASELINE,NEW_DATA,24.999619,62.443195,nan
129,BASELINE,NEW_DATA,24.999619,62.443195,nan
130,BASELINE,NEW_DATA,24.999619,62.443195,nan
