tick_n,phase,status,raw_eda,raw_hr,raw_hrv
1,BASELINE,NEW_DATA,4.9522,nan,nan
2,BASELINE,NEW_DATA,4.9484,nan,nan
3,BASELINE,NEW_DATA,4.9454,nan,nan
4,BASELINE,NEW_DATA,4.9469,nan,nan
5,BASELINE,NEW_DATA,4.9397,nan,nan
6,BASELINE,NEW_DATA,4.9393,nan,nan
7,BASELINE,NEW_DATA,4.9370,nan,nan
8,BASELINE,NEW_DATA,4.9339,nan,nan
9,BASELINE,NEW_DATA,4.9324,nan,nan
10,BASELINE,NEW_DATA,4.9316,nan,nan
11,BASELINE,NEW_DATA,4.9305,nan,nan
12,BASELINE,NEW_DATA,4.9267,nan,nan
13,BASELINE,NEW_DATA,4.9263,nan,nan
14,BASELINE,NEW_DATA,4.9225,nan,nan
15,BASELINE,NEW_DATA,4.9210,nan,nan
16,BASELINE,NEW_DATA,4.9210,110.5991,nan
17,BASELINE,NEW_DATA,4.9255,110.5991,nan
18,BASELINE,NEW_DATA,4.9187,110.5991,nan
19,BASELINE,NEW_DATA,4.9179,110.5991,nan
20,BASELINE,NEW_DATA,4.9164,110.5991,nan
21,BASELINE,NEW_DATA,4.9194,70.5882,nan
22,BASELINE,NEW_DATA,4.9164,70.5882,nan
23,BASELINE,NEW_DATA,4.9179,70.5882,nan
24,BASELINE,NEW_DATA,4.9164,70.5882,nan
25,BASELINE,NEW_DATA,4.9183,70.5882,nan
26,BASELINE,NEW_DATA,4.9107,70.5882,nan
27,BASELINE,NEW_DATA,4.9049,70.5882,nan
28,BASELINE,NEW_DATA,4.9011,70.5882,nan
29,BASELINE,NEW_DATA,4.9011,70.5882,nan
30,BASELINE,NEW_DATA,4.9030,70.5882,nan
31,BASELINE,NEW_DATA,4.9011,70.5882,nan
32,BASELINE,NEW_DATA,4.8988,70.5882,nan
33,BASELINE,NEW_DATA,4.9015,70.5882,nan
34,BASELINE,NEW_DATA,4.8985,70.5882,nan
35,BASELINE,NEW_DATA,4.8973,70.5882,nan
36,BASELINE,NEW_DATA,4.8935,60.7595,nan
37,BASELINE,NEW_DATA,4.8958,60.7595,nan
38,BASELINE,NEW_DATA,4.8904,60.7595,nan
39,BASELINE,NEW_DATA,4.8908,60.7595,nan
40,BASELINE,NEW_DATA,4.8897,60.7595,nan
41,BASELINE,NEW_DATA,4.8859,71.7132,nan
42,BASELINE,NEW_DATA,4.8851,71.7132,nan
43,BASELINE,NEW_DATA,4.8843,71.7132,nan
44,BASELINE,NEW_DATA,4.8836,71.7132,nan
45,BASELINE,NEW_DATA,4.8843,71.7132,nan
46,BASELINE,NEW_DATA,4.8805,60.7595,nan
47,BASELINE,NEW_DATA,4.8782,60.7595,nan
48,BASELINE,NEW_DATA,4.8782,60.7595,nan
49,BASELINE,NEW_DATA,4.8805,60.7595,nan
50,BASELINE,NEW_DATA,4.8828,60.7595,nan
51,BASELINE,NEW_DATA,4.8782,64.1711,nan
52,BASELINE,NEW_DATA,4.8771,64.1711,nan
53,BASELINE,NEW_DATA,4.8786,64.1711,nan
54,BASELINE,NEW_DATA,4.8782,64.1711,nan
55,BASELINE,NEW_DATA,4.8771,66.6667,nan
56,BASELINE,NEW_DATA,4.8786,66.6667,nan
57,BASELINE,NEW_DATA,4.8798,66.6667,nan
58,BASELINE,NEW_DATA,4.8805,66.6667,nan
59,BASELINE,NEW_DATA,4.8798,66.6667,nan
60,BASELINE,NEW_DATA,4.8790,68.1044,nan
61,BASELINE,NEW_DATA,4.8801,68.1044,nan
62,BASELINE,NEW_DATA,4.8828,68.1044,nan
63,BASELINE,NEW_DATA,4.8813,68.1044,nan
64,BASELINE,NEW_DATA,4.8813,68.1044,nan
65,BASELINE,NEW_DATA,4.8798,68.1044,nan
66,BASELINE,NEW_DATA,4.8809,68.1044,nan
67,BASELINE,NEW_DATA,4.8798,68.1044,nan
68,BASELINE,NEW_DATA,4.8767,68.1044,nan
69,BASELINE,NEW_DATA,4.8805,68.1044,nan
70,BASELINE,NEW_DATA,4.8775,69.0979,nan
71,BASELINE,NEW_DATA,4.8744,69.0979,nan
72,BASELINE,NEW_DATA,4.8752,69.0979,nan
73,BASELINE,NEW_DATA,4.8744,69.0979,nan
74,BASELINE,NEW_DATA,4.8729,69.0979,nan
75,BASELINE,NEW_DATA,4.8729,69.9417,nan
76,BASELINE,NEW_DATA,4.8710,69.9417,nan
77,BASELINE,NEW_DATA,4.8691,69.9417,nan
78,BASELINE,NEW_DATA,4.8706,69.9417,nan
79,BASELINE,NEW_DATA,4.8706,69.9417,nan
80,BASELINE,NEW_DATA,4.8706,69.9417,nan
81,BASELINE,NEW_DATA,4.8691,69.9417,nan
82,BASELINE,NEW_DATA,4.8676,69.9417,nan
83,BASELINE,NEW_DATA,4.8676,69.9417,nan
84,BASELINE,NEW_DATA,4.8676,69.9417,nan
85,BASELINE,NEW_DATA,4.8664,70.8487,nan
86,BASELINE,NEW_DATA,4.8649,70.8487,nan
87,BASELINE,NEW_DATA,4.8733,70.8487,nan
88,BASELINE,NEW_DATA,4.8660,70.8487,nan
89,BASELINE,NEW_DATA,4.8645,70.8487,nan
90,BASELINE,NEW_DATA,4.8630,70.8487,nan
91,BASELINE,NEW_DATA,4.8634,70.8487,nan
92,BASELINE,NEW_DATA,4.8622,70.8487,nan
93,BASELINE,NEW_DATA,4.8603,70.8487,nan
94,BASELINE,NEW_DATA,4.8599,70.8487,nan
95,BASELINE,NEW_DATA,4.8649,71.2871,nan
96,BASELINE,NEW_DATA,4.8576,71.2871,nan
97,BASELINE,NEW_DATA,4.8584,71.2871,nan
98,BASELINE,NEW_DATA,4.8569,71.2871,nan
99,BASELINE,NEW_DATA,4.8561,71.2871,nan
100,BASELINE,NEW_DATA,4.8538,70.8382,nan
101,BASELINE,NEW_DATA,4.8523,70.8382,nan
102,BASELINE,NEW_DATA,4.8523,70.8382,nan
103,BASELINE,NEW_DATA,4.8492,70.8382,nan
104,BASELINE,NEW_DATA,4.8531,70.8382,nan
105,BASELINE,NEW_DATA,4.8462,70.8382,nan
106,BASELINE,NEW_DATA,4.8447,70.8382,nan
107,BASELINE,NEW_DATA,4.8431,70.8382,nan
108,BASELINE,NEW_DATA,4.8424,70.8382,nan
109,BASELINE,NEW_DATA,4.8401,69.9153,nan
110,BASELINE,NEW_DATA,4.8409,69.9153,nan
111,BASELINE,NEW_DATA,4.8393,69.9153,nan
112,BASELINE,NEW_DATA,4.8401,69.9153,nan
113,BASELINE,NEW_DATA,4.8370,69.9153,nan
114,BASELINE,NEW_DATA,4.8363,69.9153,nan
115,BASELINE,NEW_DATA,4.8367,69.9153,nan
116,BASELINE,NEW_DATA,4.8351,69.9153,nan
117,BASELINE,NEW_DATA,4.8340,69.9153,nan
118,BASELINE,NEW_DATA,4.8325,69.9153,nan
119,BASELINE,NEW_DATA,4.8317,69.1643,nan
120,BASELINE,NEW_DATA,4.8309,69.1643,nan
121,BASELINE,NEW_DATA,4.8325,69.1643,nan
122,BASELINE,NEW_DATA,4.8309,69.1643,nan
123,BASELINE,NEW_DATA,4.8309,69.1643,nan
124,BASELINE,NEW_DATA,4.8286,69.1643,nan
125,BASELINE,NEW_DATA,4.8332,69.1643,nan
126,BASELINE,NEW_DATA,4.8317,69.1643,nan
127,BASELINE,NEW_DATA,4.8298,69.1643,nan
128,BASELINE,NEW_DATA,4.8294,69.1643,nan
129,BASELINE,NEW_DATA,4.8309,68.9046,nan
130,BASELINE,NEW_DATA,4.8294,68.9046,nan
131,BASELINE,NEW_DATA,4.8283,68.9046,nan
132,BASELINE,NEW_DATA,4.8279,68.9046,nan
133,BASELINE,NEW_DATA,4.8252,68.9046,nan
134,BASELINE,NEW_DATA,4.8264,68.9046,nan
135,BASELINE,NEW_DATA,4.8225,68.9046,nan
136,BASELINE,NEW_DATA,4.8218,68.9046,nan
137,BASELINE,NEW_DATA,4.8218,68.9046,nan
138,BASELINE,NEW_DATA,4.8218,68.9046,nan
139,BASELINE,NEW_DATA,4.8180,68.2649,nan
140,BASELINE,NEW_DATA,4.8176,68.2649,nan
141,BASELINE,NEW_DATA,4.8157,68.2649,nan
142,BASELINE,NEW_DATA,4.8164,68.2649,nan
143,BASELINE,NEW_DATA,4.8115,68.2649,nan
144,BASELINE,NEW_DATA,4.8119,68.2649,nan
145,BASELINE,NEW_DATA,4.8080,68.2649,nan
146,BASELINE,NEW_DATA,4.8084,68.2649,nan
147,BASELINE,NEW_DATA,4.8073,68.2649,nan
148,BASELINE,NEW_DATA,4.8054,68.2649,nan
149,BASELINE,NEW_DATA,4.8046,67.7201,nan
150,BASELINE,NEW_DATA,4.8050,67.7201,nan
151,BASELINE,NEW_DATA,4.8027,67.7201,nan
152,BASELINE,NEW_DATA,4.8065,67.7201,nan
153,BASELINE,NEW_DATA,4.7981,67.7201,nan
154,BASELINE,NEW_DATA,4.7993,67.7201,nan
155,BASELINE,NEW_DATA,4.7966,67.7201,nan
156,BASELINE,NEW_DATA,4.7974,67.7201,nan
157,BASELINE,NEW_DATA,4.7974,67.7201,nan
158,BASELINE,NEW_DATA,4.7974,67.7201,nan
159,BASELINE,NEW_DATA,4.7958,67.6056,nan
160,BASELINE,NEW_DATA,4.7935,67.6056,nan
161,BASELINE,NEW_DATA,4.8019,67.6056,nan
162,BASELINE,NEW_DATA,4.7920,67.6056,nan
163,BASELINE,NEW_DATA,4.7916,67.6056,nan
164,BASELINE,NEW_DATA,4.7928,67.6056,nan
165,BASELINE,NEW_DATA,4.7897,67.6056,nan
166,BASELINE,NEW_DATA,4.7905,67.6056,nan
167,BASELINE,NEW_DATA,4.7897,67.6056,nan
168,BASELINE,NEW_DATA,4.7874,67.6056,nan
169,BASELINE,NEW_DATA,4.7844,67.7741,nan
170,BASELINE,NEW_DATA,4.7794,67.7741,nan
171,BASELINE,NEW_DATA,4.7783,67.7741,nan
172,BASELINE,NEW_DATA,4.7791,67.7741,nan
173,BASELINE,NEW_DATA,4.7791,67.7741,nan
174,BASELINE,NEW_DATA,4.7791,68.0529,nan
175,BASELINE,NEW_DATA,4.7775,68.0529,nan
176,BASELINE,NEW_DATA,4.7775,68.0529,nan
177,BASELINE,NEW_DATA,4.7798,68.0529,nan
178,BASELINE,NEW_DATA,4.7798,68.0529,nan
179,BASELINE,NEW_DATA,4.7825,68.0529,nan
180,BASELINE,NEW_DATA,4.7836,68.0529,nan
181,BASELINE,NEW_DATA,4.7825,68.0529,nan
182,BASELINE,NEW_DATA,4.7859,68.0529,nan
183,BASELINE,NEW_DATA,4.7882,68.0529,nan
184,BASELINE,NEW_DATA,4.7913,68.3658,nan
185,BASELINE,NEW_DATA,4.7943,68.3658,nan
186,BASELINE,NEW_DATA,4.7989,68.3658,nan
187,BASELINE,NEW_DATA,4.8019,68.3658,nan
188,BASELINE,NEW_DATA,4.8050,68.3658,nan
189,BASELINE,NEW_DATA,4.8050,68.8666,nan
190,BASELINE,NEW_DATA,4.8111,68.8666,nan
191,BASELINE,NEW_DATA,4.8130,68.8666,nan
192,BASELINE,NEW_DATA,4.8141,68.8666,nan
193,BASELINE,NEW_DATA,4.8233,68.8666,nan
194,BASELINE,NEW_DATA,4.8187,68.8666,nan
195,BASELINE,NEW_DATA,4.8225,68.8666,nan
196,BASELINE,NEW_DATA,4.8264,68.8666,nan
197,BASELINE,NEW_DATA,4.8222,68.8666,nan
198,BASELINE,NEW_DATA,4.8233,68.8666,nan
199,BASELINE,NEW_DATA,4.8264,69.2879,nan
200,BASELINE,NEW_DATA,4.8298,69.2879,nan
201,BASELINE,NEW_DATA,4.8325,69.2879,nan
202,BASELINE,NEW_DATA,4.8325,69.2879,nan
203,BASELINE,NEW_DATA,4.8347,69.2879,nan
204,BASELINE,NEW_DATA,4.8351,69.5835,nan
205,BASELINE,NEW_DATA,4.8409,69.5835,nan
206,BASELINE,NEW_DATA,4.8409,69.5835,nan
207,BASELINE,NEW_DATA,4.8420,69.5835,nan
208,BASELINE,NEW_DATA,4.8447,69.5835,nan
