timestamp,kind,command,state,s_t,gate_open
2026-06-09 14:08:53.010,lifecycle,start,,,0
2026-06-09 14:08:54.518,state,increase,calm,0.3646,1
2026-06-09 14:08:59.046,state,increase,calm,0.4010,1
2026-06-09 14:09:00.053,state,increase,calm,0.3224,1
2026-06-09 14:09:01.060,state,increase,calm,0.2586,1
2026-06-09 14:09:02.068,state,increase,calm,0.2426,1
2026-06-09 14:09:03.074,state,increase,calm,0.2385,1
2026-06-09 14:09:04.079,state,increase,calm,0.2800,1
2026-06-09 14:09:05.088,state,increase,calm,0.3197,1
2026-06-09 14:09:06.095,state,increase,calm,-0.6995,1
2026-06-09 14:09:07.102,state,increase,calm,0.0574,1
2026-06-09 14:09:08.109,state,increase,calm,0.3821,1
2026-06-09 14:09:09.116,state,increase,calm,0.2754,1
2026-06-09 14:09:10.121,state,increase,calm,-1.1435,1
2026-06-09 14:09:11.130,state,increase,calm,-2.4326,1
2026-06-09 14:09:12.136,state,increase,calm,-0.2433,1
2026-06-09 14:09:13.141,state,increase,calm,-0.2757,1
2026-06-09 14:09:14.150,state,increase,calm,-0.2789,1
2026-06-09 14:09:15.155,state,increase,calm,-0.2867,1
2026-06-09 14:09:16.163,state,increase,calm,-0.3512,1
2026-06-09 14:09:17.172,state,increase,calm,-0.5193,1
2026-06-09 14:09:18.178,state,increase,calm,-0.6399,1
2026-06-09 14:09:19.186,state,increase,calm,-0.7136,1
2026-06-09 14:09:20.195,state,increase,calm,-0.6682,1
2026-06-09 14:09:21.202,state,increase,calm,-0.6625,1
2026-06-09 14:09:22.209,state,increase,calm,-0.7302,1
2026-06-09 14:09:23.219,state,increase,calm,-0.7760,1
2026-06-09 14:09:24.225,state,increase,calm,-0.7651,1
2026-06-09 14:09:25.231,state,increase,calm,-0.7918,1
2026-06-09 14:09:26.235,state,increase,calm,-0.8409,1
2026-06-09 14:09:27.242,state,increase,calm,-0.8521,1
2026-06-09 14:09:28.248,state,increase,calm,-0.8271,1
2026-06-09 14:09:29.255,state,increase,calm,-0.7646,1
2026-06-09 14:09:30.261,state,increase,calm,-0.7149,1
2026-06-09 14:09:31.269,state,increase,calm,-0.6622,1
2026-06-09 14:09:32.274,state,increase,calm,-0.6382,1
2026-06-09 14:09:33.280,state,increase,calm,-0.6894,1
2026-06-09 14:09:34.289,state,increase,calm,-0.7690,1
2026-06-09 14:09:35.293,state,increase,calm,-0.7352,1
2026-06-09 14:09:36.299,state,increase,calm,-0.8749,1
2026-06-09 14:09:37.305,state,increase,calm,-0.9817,1
2026-06-09 14:09:38.315,state,increase,calm,-1.0789,1
2026-06-09 14:09:39.322,state,increase,calm,-1.1007,1
