timestamp,kind,command,state,s_t,gate_open
2026-06-04 16:09:07.578,lifecycle,start,,,0
2026-06-04 16:09:09.088,state,increase,calm,-6.2196,1
2026-06-04 16:09:10.091,state,increase,calm,-6.3850,1
2026-06-04 16:09:11.092,state,increase,calm,-6.2932,1
2026-06-04 16:09:12.097,state,increase,calm,-5.7994,1
2026-06-04 16:09:13.106,state,increase,calm,-5.3790,1
2026-06-04 16:09:14.127,state,increase,calm,-5.2251,1
2026-06-04 16:09:15.130,state,increase,calm,-5.1857,1
2026-06-04 16:09:16.136,state,increase,calm,-5.1262,1
2026-06-04 16:09:17.145,state,increase,calm,-4.8098,1
2026-06-04 16:09:18.149,state,increase,calm,-4.5743,1
2026-06-04 16:09:19.151,state,increase,calm,-4.6945,1
2026-06-04 16:09:20.152,state,increase,calm,-4.8007,1
2026-06-04 16:09:21.153,state,increase,calm,-4.6454,1
2026-06-04 16:09:22.155,state,increase,calm,-4.9666,1
2026-06-04 16:09:23.181,state,increase,calm,-5.7385,1
2026-06-04 16:09:24.207,state,increase,calm,-6.0914,1
2026-06-04 16:09:25.223,state,increase,calm,-5.9416,1
2026-06-04 16:09:26.233,state,increase,calm,-5.6375,1
2026-06-04 16:09:27.250,state,increase,calm,-5.6570,1
2026-06-04 16:09:28.252,state,increase,calm,-5.4998,1
2026-06-04 16:09:29.272,state,increase,calm,-5.8409,1
2026-06-04 16:09:30.275,state,increase,calm,-6.0783,1
2026-06-04 16:09:31.297,state,increase,calm,-5.8956,1
2026-06-04 16:09:32.299,state,increase,calm,-5.6549,1
2026-06-04 16:09:33.300,state,increase,calm,-5.7060,1
2026-06-04 16:09:34.305,state,increase,calm,-5.6932,1
2026-06-04 16:09:35.310,state,increase,calm,-5.3885,1
2026-06-04 16:09:36.317,state,increase,calm,-5.3326,1
2026-06-04 16:09:37.323,state,increase,calm,-5.3510,1
2026-06-04 16:09:38.326,state,increase,calm,-5.3793,1
2026-06-04 16:09:39.336,state,increase,calm,-5.3393,1
2026-06-04 16:09:40.339,state,increase,calm,-5.0930,1
2026-06-04 16:09:41.355,state,increase,calm,-5.1334,1
2026-06-04 16:09:42.364,state,increase,calm,-5.1812,1
2026-06-04 16:09:43.367,state,increase,calm,-4.8697,1
2026-06-04 16:09:44.367,state,increase,calm,-4.4730,1
2026-06-04 16:09:45.380,state,increase,calm,-4.5265,1
2026-06-04 16:09:46.379,state,increase,calm,-4.8578,1
2026-06-04 16:09:47.383,state,increase,calm,-4.8931,1
2026-06-04 16:09:48.402,state,increase,calm,-4.6542,1
2026-06-04 16:09:49.408,state,increase,calm,-4.5815,1
2026-06-04 16:09:50.427,state,increase,calm,-4.0697,1
2026-06-04 16:09:51.435,state,increase,calm,-3.3454,1
2026-06-04 16:09:52.450,state,increase,calm,-3.0349,1
2026-06-04 16:09:53.461,state,increase,calm,-3.0255,1
2026-06-04 16:09:54.465,state,increase,calm,-3.0696,1
2026-06-04 16:09:55.470,state,increase,calm,-3.0592,1
2026-06-04 16:09:56.474,state,increase,calm,-2.6930,1
2026-06-04 16:09:57.482,state,increase,calm,-2.3219,1
2026-06-04 16:09:58.488,state,increase,calm,-2.3450,1
2026-06-04 16:09:59.490,state,increase,calm,-3.2853,1
2026-06-04 16:10:00.509,state,increase,calm,-2.8847,1
2026-06-04 16:10:01.510,state,increase,calm,-1.8283,1
2026-06-04 16:10:02.514,state,increase,calm,-1.6606,1
2026-06-04 16:10:03.516,state,increase,calm,-1.5697,1
2026-06-04 16:10:04.518,state,increase,calm,-1.2505,1
2026-06-04 16:10:05.519,state,increase,calm,-1.2564,1
2026-06-04 16:10:06.522,state,increase,calm,-1.4064,1
2026-06-04 16:10:07.545,state,increase,calm,-1.4297,1
2026-06-04 16:10:08.546,state,increase,calm,-1.4804,1
2026-06-04 16:10:09.550,state,increase,calm,-1.1863,1
2026-06-04 16:10:10.551,state,increase,calm,-0.9747,1
2026-06-04 16:10:11.558,state,increase,calm,-0.9678,1
2026-06-04 16:10:12.560,state,increase,calm,-1.0101,1
2026-06-04 16:10:13.575,state,increase,calm,-1.1195,1
2026-06-04 16:10:14.576,state,increase,calm,-1.1960,1
2026-06-04 16:10:15.580,state,increase,calm,-1.6373,1
2026-06-04 16:10:16.602,state,increase,calm,-2.0804,1
2026-06-04 16:10:17.626,state,increase,calm,-1.9499,1
2026-06-04 16:10:18.627,state,increase,calm,-1.7191,1
2026-06-04 16:10:19.629,state,increase,calm,-1.1647,1
2026-06-04 16:10:20.632,state,increase,calm,-0.8897,1
2026-06-04 16:10:21.651,state,increase,calm,-1.3898,1
2026-06-04 16:10:22.651,state,increase,calm,-1.4343,1
2026-06-04 16:10:23.655,state,increase,calm,-1.3199,1
2026-06-04 16:10:24.656,state,increase,calm,-1.4447,1
2026-06-04 16:10:25.678,state,increase,calm,-1.6745,1
2026-06-04 16:10:26.679,state,increase,calm,-1.6291,1
2026-06-04 16:10:27.699,state,increase,calm,-1.0660,1
2026-06-04 16:10:28.719,state,increase,calm,-0.7371,1
2026-06-04 16:10:29.721,state,increase,calm,-0.8172,1
2026-06-04 16:10:30.727,state,increase,calm,-0.8858,1
2026-06-04 16:10:31.739,state,increase,calm,-0.8532,1
2026-06-04 16:10:32.752,state,increase,calm,-0.8447,1
