timestamp,kind,command,state,s_t,gate_open
2026-06-02 14:40:18.546,lifecycle,start,,,0
2026-06-02 14:40:20.063,state,increase,calm,0.0000,1
2026-06-02 14:40:21.073,state,increase,calm,-0.7176,1
2026-06-02 14:40:22.078,state,increase,calm,-0.7249,1
2026-06-02 14:40:23.088,state,increase,calm,-0.5093,1
2026-06-02 14:40:24.099,state,increase,calm,0.2257,1
2026-06-02 14:40:25.113,state,increase,calm,-1.4011,1
2026-06-02 14:40:26.122,state,increase,calm,-2.9411,1
2026-06-02 14:40:27.133,state,increase,calm,-3.1585,1
2026-06-02 14:40:28.143,state,increase,calm,-2.6707,1
2026-06-02 14:40:29.153,state,increase,calm,-1.9920,1
2026-06-02 14:40:30.162,state,increase,calm,-2.3108,1
2026-06-02 14:40:31.173,state,increase,calm,-2.7397,1
2026-06-02 14:40:32.183,state,increase,calm,-2.9411,1
2026-06-02 14:40:33.194,state,increase,calm,-2.4259,1
2026-06-02 14:40:34.204,state,increase,calm,-1.7856,1
2026-06-02 14:40:35.213,state,increase,calm,-1.6529,1
2026-06-02 14:40:36.219,state,increase,calm,-1.7160,1
2026-06-02 14:40:37.228,state,increase,calm,-1.6704,1
2026-06-02 14:40:38.240,state,increase,calm,-1.5140,1
2026-06-02 14:40:39.255,state,increase,calm,-1.4511,1
2026-06-02 14:40:40.282,state,increase,calm,-1.4715,1
2026-06-02 14:40:41.310,state,increase,calm,-1.8171,1
2026-06-02 14:40:42.318,state,increase,calm,-3.1909,1
2026-06-02 14:40:43.328,state,increase,calm,-4.7224,1
2026-06-02 14:40:44.339,state,increase,calm,-3.4319,1
2026-06-02 14:40:45.345,state,increase,calm,-0.9788,1
2026-06-02 14:40:46.356,state,increase,calm,0.4359,1
2026-06-02 14:40:47.363,state,increase,calm,0.5402,1
2026-06-02 14:40:48.370,state,increase,calm,0.0670,1
2026-06-02 14:40:49.378,state,increase,calm,-0.5959,1
2026-06-02 14:40:50.383,state,increase,calm,-1.3426,1
2026-06-02 14:40:51.398,state,increase,calm,-1.7883,1
2026-06-02 14:40:52.406,state,increase,calm,-2.1861,1
2026-06-02 14:40:53.422,state,increase,calm,-2.3487,1
2026-06-02 14:40:54.426,state,increase,calm,-2.2550,1
2026-06-02 14:40:55.436,state,increase,calm,-2.3315,1
2026-06-02 14:40:56.444,state,increase,calm,-2.4703,1
2026-06-02 14:40:57.451,state,increase,calm,-2.3872,1
2026-06-02 14:40:58.461,state,increase,calm,-2.4461,1
2026-06-02 14:40:59.471,state,increase,calm,-3.0430,1
2026-06-02 14:41:00.481,state,increase,calm,-5.5973,1
2026-06-02 14:41:01.491,state,increase,calm,-6.4881,1
2026-06-02 14:41:02.503,state,increase,calm,-2.8398,1
2026-06-02 14:41:03.859,state,decrease,ultra_stressed,1.3870,1
2026-06-02 14:41:04.863,state,decrease,ultra_stressed,1.9638,1
2026-06-02 14:41:06.185,state,increase,calm,0.7539,1
2026-06-02 14:41:07.194,state,increase,calm,-0.5162,1
2026-06-02 14:41:08.201,state,increase,calm,-1.4678,1
2026-06-02 14:41:09.207,state,increase,calm,-2.2376,1
2026-06-02 14:41:10.217,state,increase,calm,-2.8983,1
2026-06-02 14:41:11.228,state,increase,calm,-3.1788,1
2026-06-02 14:41:12.235,state,increase,calm,-3.2778,1
2026-06-02 14:41:13.242,state,increase,calm,-3.3942,1
2026-06-02 14:41:14.251,state,increase,calm,-3.5553,1
2026-06-02 14:41:15.262,state,increase,calm,-3.6659,1
2026-06-02 14:41:16.271,state,increase,calm,-3.5754,1
2026-06-02 14:41:17.276,state,increase,calm,-3.4798,1
2026-06-02 14:41:18.287,state,increase,calm,-3.4685,1
2026-06-02 14:41:19.293,state,increase,calm,-3.4721,1
2026-06-02 14:41:20.297,state,increase,calm,-3.3721,1
2026-06-02 14:41:21.306,state,increase,calm,-3.3614,1
2026-06-02 14:41:22.314,state,increase,calm,-3.7932,1
2026-06-02 14:41:23.320,state,increase,calm,-4.4825,1
