tick_n,phase,status,raw_eda,raw_hr,raw_hrv,smooth_eda,smooth_hr,smooth_hrv
1,BASELINE,NEW_DATA,2.8465,nan,nan,2.8465,nan,nan
2,BASELINE,NEW_DATA,2.8555,nan,nan,2.8555,nan,nan
3,BASELINE,NEW_DATA,2.8718,nan,nan,2.8718,nan,nan
4,BASELINE,NEW_DATA,2.9134,nan,nan,2.9134,nan,nan
5,BASELINE,NEW_DATA,2.9137,nan,nan,2.9137,nan,nan
6,BASELINE,NEW_DATA,2.8936,nan,nan,2.8936,nan,nan
7,BASELINE,NEW_DATA,2.8801,nan,nan,2.8801,nan,nan
8,BASELINE,NEW_DATA,3.0032,nan,nan,3.0032,nan,nan
9,BASELINE,NEW_DATA,2.9221,nan,nan,2.9221,nan,nan
10,BASELINE,NEW_DATA,2.9841,nan,nan,2.9841,nan,nan
11,BASELINE,NEW_DATA,2.9935,nan,nan,2.9935,nan,nan
12,BASELINE,NEW_DATA,3.0545,nan,nan,3.0545,nan,nan
13,BASELINE,NEW_DATA,3.0864,nan,nan,3.0864,nan,nan
14,BASELINE,NEW_DATA,3.5168,nan,nan,3.5168,nan,nan
15,BASELINE,NEW_DATA,3.8511,nan,nan,3.8511,nan,nan
16,BASELINE,NEW_DATA,3.8313,nan,nan,3.8313,nan,nan
17,BASELINE,NEW_DATA,3.8168,nan,nan,3.8168,nan,nan
18,BASELINE,NEW_DATA,3.8050,nan,nan,3.8050,nan,nan
19,BASELINE,NEW_DATA,3.9562,nan,nan,3.9562,nan,nan
20,BASELINE,NEW_DATA,3.9000,nan,nan,3.9000,nan,nan
21,BASELINE,NEW_DATA,3.8889,nan,nan,3.8889,nan,nan
22,BASELINE,NEW_DATA,3.8691,nan,nan,3.8691,nan,nan
23,BASELINE,NEW_DATA,3.7994,nan,nan,3.7994,nan,nan
24,BASELINE,NEW_DATA,3.8112,nan,nan,3.8112,nan,nan
25,BASELINE,NEW_DATA,3.7596,nan,nan,3.7596,nan,nan
26,BASELINE,NEW_DATA,3.7675,nan,nan,3.7675,nan,nan
27,BASELINE,NEW_DATA,3.7301,nan,nan,3.7301,nan,nan
28,BASELINE,NEW_DATA,3.7037,nan,nan,3.7037,nan,nan
29,BASELINE,NEW_DATA,3.7335,nan,nan,3.7335,nan,nan
30,BASELINE,NEW_DATA,3.7377,nan,nan,3.7377,nan,nan
31,BASELINE,NEW_DATA,3.6996,nan,nan,3.6996,nan,nan
