timestamp,kind,command,state,s_t,gate_open
2026-06-02 22:26:28.523,lifecycle,start,,,0
2026-06-02 22:26:30.345,state,increase,calm,0.7617,1
2026-06-02 22:26:31.352,state,increase,calm,0.0148,1
2026-06-02 22:26:33.276,state,increase,calm,0.7776,1
2026-06-02 22:26:34.278,state,increase,calm,0.1476,1
2026-06-02 22:26:35.524,state,increase,calm,0.7791,1
2026-06-02 22:26:36.527,state,increase,calm,0.7345,1
2026-06-02 22:26:37.536,state,increase,calm,0.0975,1
2026-06-02 22:26:39.242,state,increase,calm,0.7766,1
2026-06-02 22:26:40.247,state,increase,calm,0.3727,1
2026-06-02 22:26:41.258,state,increase,calm,0.1296,1
2026-06-02 22:26:42.877,state,increase,calm,0.7793,1
2026-06-02 22:26:44.358,state,increase,calm,0.7560,1
2026-06-02 22:26:48.591,state,decrease,ultra_stressed,1.4403,1
2026-06-02 22:26:50.128,state,decrease,ultra_stressed,1.4363,1
2026-06-02 22:26:51.235,state,decrease,ultra_stressed,1.4273,1
2026-06-02 22:26:54.633,state,increase,calm,0.7586,1
2026-06-02 22:26:56.104,state,increase,calm,0.7696,1
2026-06-02 22:26:58.993,state,increase,calm,0.7517,1
2026-06-02 22:27:00.015,state,increase,calm,0.5121,1
2026-06-02 22:27:01.038,state,increase,calm,0.5152,1
2026-06-02 22:27:02.059,state,increase,calm,0.6664,1
2026-06-02 22:27:03.082,state,increase,calm,0.6380,1
2026-06-02 22:27:04.106,state,increase,calm,0.7167,1
2026-06-02 22:27:05.107,state,increase,calm,0.2508,1
2026-06-02 22:27:06.108,state,increase,calm,0.6022,1
2026-06-02 22:27:07.111,state,increase,calm,0.2487,1
2026-06-02 22:27:08.131,state,increase,calm,-0.0221,1
2026-06-02 22:27:09.135,state,increase,calm,0.5871,1
2026-06-02 22:27:10.137,state,increase,calm,-0.0849,1
2026-06-02 22:27:11.139,state,increase,calm,0.3486,1
2026-06-02 22:27:12.148,state,increase,calm,0.0246,1
2026-06-02 22:27:13.271,state,decrease,ultra_stressed,1.4431,1
2026-06-02 22:27:14.273,state,decrease,ultra_stressed,1.4796,1
2026-06-02 22:27:15.292,state,increase,calm,0.4247,1
2026-06-02 22:27:16.438,state,increase,calm,0.7695,1
2026-06-02 22:27:17.439,state,increase,calm,0.3097,1
2026-06-02 22:27:18.444,state,increase,calm,0.4587,1
2026-06-02 22:27:19.466,state,increase,calm,0.6503,1
2026-06-02 22:27:20.485,state,increase,calm,0.7684,1
2026-06-02 22:27:21.507,state,increase,calm,0.7193,1
2026-06-02 22:27:23.985,state,increase,calm,0.7789,1
2026-06-02 22:27:25.257,state,increase,calm,0.7640,1
2026-06-02 22:27:26.821,state,increase,calm,0.7423,1
2026-06-02 22:27:27.841,state,increase,calm,0.6181,1
2026-06-02 22:27:29.379,state,increase,calm,0.7808,1
2026-06-02 22:27:30.397,state,increase,calm,0.5469,1
2026-06-02 22:27:31.401,state,increase,calm,0.2967,1
2026-06-02 22:27:32.408,state,increase,calm,0.6932,1
2026-06-02 22:27:33.426,state,increase,calm,0.6429,1
2026-06-02 22:27:34.432,state,increase,calm,0.6780,1
2026-06-02 22:27:36.096,state,increase,calm,0.7678,1
2026-06-02 22:27:37.771,state,increase,calm,0.7691,1
2026-06-02 22:27:40.573,state,increase,calm,0.7806,1
2026-06-02 22:27:41.966,state,decrease,ultra_stressed,1.4309,1
2026-06-02 22:27:42.976,state,increase,calm,0.3869,1
2026-06-02 22:27:44.144,state,increase,calm,0.7706,1
2026-06-02 22:27:45.163,state,increase,calm,0.5946,1
2026-06-02 22:27:46.165,state,increase,calm,0.6255,1
2026-06-02 22:27:47.768,state,increase,calm,0.7783,1
2026-06-02 22:27:49.404,state,increase,calm,0.7622,1
2026-06-02 22:27:50.407,state,increase,calm,0.5819,1
2026-06-02 22:27:52.127,state,increase,calm,0.7785,1
2026-06-02 22:27:53.129,state,decrease,ultra_stressed,1.4934,1
2026-06-02 22:27:55.524,state,increase,calm,0.7755,1
2026-06-02 22:27:56.534,state,decrease,ultra_stressed,1.4276,1
2026-06-02 22:27:57.555,state,increase,calm,0.6077,1
2026-06-02 22:28:00.346,state,increase,calm,0.7582,1
2026-06-02 22:28:01.352,state,decrease,ultra_stressed,1.4578,1
2026-06-02 22:28:02.360,state,increase,calm,0.5203,1
2026-06-02 22:28:03.362,state,increase,calm,0.7686,1
2026-06-02 22:28:04.365,state,increase,calm,0.2938,1
2026-06-02 22:28:05.371,state,increase,calm,0.7779,1
2026-06-02 22:28:06.375,state,increase,calm,0.4973,1
2026-06-02 22:28:07.501,state,increase,calm,0.7708,1
2026-06-02 22:28:08.503,state,increase,calm,0.6891,1
2026-06-02 22:28:09.509,state,increase,calm,0.6989,1
2026-06-02 22:28:10.511,state,increase,calm,0.5944,1
2026-06-02 22:28:11.514,state,increase,calm,0.7785,1
