tick_n,phase,status,raw_eda,raw_hr,raw_hrv
1,BASELINE,NEW_DATA,20.3053,nan,nan
2,BASELINE,NEW_DATA,20.2997,nan,nan
3,BASELINE,NEW_DATA,20.2997,nan,nan
4,BASELINE,NEW_DATA,20.2997,nan,nan
5,BASELINE,NEW_DATA,20.2928,nan,nan
6,BASELINE,NEW_DATA,20.2942,nan,nan
7,BASELINE,NEW_DATA,20.2873,nan,nan
8,BASELINE,NEW_DATA,20.2886,nan,nan
9,BASELINE,NEW_DATA,20.2859,nan,nan
10,BASELINE,NEW_DATA,20.2873,nan,nan
11,BASELINE,NEW_DATA,20.2852,nan,nan
12,BASELINE,NEW_DATA,20.2845,nan,nan
13,BASELINE,NEW_DATA,20.2845,nan,nan
14,BASELINE,NEW_DATA,20.2845,nan,nan
15,BASELINE,NEW_DATA,20.2817,nan,nan
16,BASELINE,NEW_DATA,20.2845,nan,nan
17,BASELINE,NEW_DATA,20.2997,nan,nan
18,BASELINE,NEW_DATA,20.2762,nan,nan
19,BASELINE,NEW_DATA,20.2762,nan,nan
20,BASELINE,NEW_DATA,20.2817,nan,nan
21,BASELINE,NEW_DATA,20.2734,nan,nan
22,BASELINE,NEW_DATA,20.2748,nan,nan
23,BASELINE,NEW_DATA,20.2734,nan,nan
24,BASELINE,NEW_DATA,20.2706,nan,nan
25,BASELINE,NEW_DATA,20.2692,nan,nan
26,BASELINE,NEW_DATA,20.2720,nan,nan
27,BASELINE,NEW_DATA,20.2678,nan,nan
28,BASELINE,NEW_DATA,20.2692,nan,nan
29,BASELINE,NEW_DATA,20.2692,nan,nan
30,BASELINE,NEW_DATA,20.2734,nan,nan
31,BASELINE,NEW_DATA,20.2734,nan,nan
32,BASELINE,NEW_DATA,20.2692,nan,nan
33,BASELINE,NEW_DATA,20.2748,nan,nan
34,BASELINE,NEW_DATA,20.2734,nan,nan
35,BASELINE,NEW_DATA,20.2692,nan,nan
36,BASELINE,NEW_DATA,20.2692,nan,nan
37,BASELINE,NEW_DATA,20.2609,nan,nan
38,BASELINE,NEW_DATA,20.2664,nan,nan
39,BASELINE,NEW_DATA,20.2678,nan,nan
40,BASELINE,NEW_DATA,20.2734,nan,nan
41,BASELINE,NEW_DATA,20.2678,nan,nan
42,BASELINE,NEW_DATA,20.2692,nan,nan
43,BASELINE,NEW_DATA,20.2775,nan,nan
44,BASELINE,NEW_DATA,20.2817,nan,nan
45,BASELINE,NEW_DATA,20.2789,nan,nan
46,BASELINE,NEW_DATA,20.2831,nan,nan
47,BASELINE,NEW_DATA,20.2796,nan,nan
48,BASELINE,NEW_DATA,20.2831,nan,nan
49,BASELINE,NEW_DATA,20.2984,nan,nan
50,BASELINE,NEW_DATA,20.2900,nan,nan
51,BASELINE,NEW_DATA,20.2817,nan,nan
52,BASELINE,NEW_DATA,20.2900,nan,nan
53,BASELINE,NEW_DATA,20.2997,nan,nan
54,BASELINE,NEW_DATA,20.3053,nan,nan
55,BASELINE,NEW_DATA,20.2997,nan,nan
56,BASELINE,NEW_DATA,20.3067,nan,nan
57,BASELINE,NEW_DATA,20.3136,nan,nan
58,BASELINE,NEW_DATA,20.3150,nan,nan
59,BASELINE,NEW_DATA,20.3219,nan,nan
60,BASELINE,NEW_DATA,20.3247,nan,nan
61,BASELINE,NEW_DATA,20.3275,nan,nan
62,BASELINE,NEW_DATA,20.3344,nan,nan
63,BASELINE,NEW_DATA,20.3386,nan,nan
64,BASELINE,NEW_DATA,20.3441,nan,nan
65,BASELINE,NEW_DATA,20.3524,nan,nan
66,BASELINE,NEW_DATA,20.3608,nan,nan
67,BASELINE,NEW_DATA,20.3705,nan,nan
68,BASELINE,NEW_DATA,20.3830,nan,nan
69,BASELINE,NEW_DATA,20.3982,nan,nan
70,BASELINE,NEW_DATA,20.4107,nan,nan
71,BASELINE,NEW_DATA,20.4204,nan,nan
72,BASELINE,NEW_DATA,20.4343,nan,nan
73,BASELINE,NEW_DATA,20.4523,nan,nan
74,BASELINE,NEW_DATA,20.4634,nan,nan
75,BASELINE,NEW_DATA,20.4801,nan,nan
76,BASELINE,NEW_DATA,20.4995,nan,nan
77,BASELINE,NEW_DATA,20.5189,nan,nan
78,BASELINE,NEW_DATA,20.5300,nan,nan
79,BASELINE,NEW_DATA,20.5383,nan,nan
80,BASELINE,NEW_DATA,20.5605,nan,nan
81,BASELINE,NEW_DATA,20.5897,nan,nan
82,BASELINE,NEW_DATA,20.5987,nan,nan
83,BASELINE,NEW_DATA,20.6021,nan,nan
84,BASELINE,NEW_DATA,20.6188,nan,nan
85,BASELINE,NEW_DATA,20.6424,nan,nan
86,BASELINE,NEW_DATA,20.6632,nan,nan
87,BASELINE,NEW_DATA,20.6826,nan,nan
88,BASELINE,NEW_DATA,20.7020,nan,nan
89,BASELINE,NEW_DATA,20.7325,nan,nan
90,BASELINE,NEW_DATA,20.7492,nan,nan
91,BASELINE,NEW_DATA,20.7686,nan,nan
92,BASELINE,NEW_DATA,20.7922,nan,nan
93,BASELINE,NEW_DATA,20.8102,nan,nan
94,BASELINE,NEW_DATA,20.8310,nan,nan
95,BASELINE,NEW_DATA,20.8449,nan,nan
96,BASELINE,NEW_DATA,20.8574,nan,nan
97,BASELINE,NEW_DATA,20.8782,nan,nan
98,BASELINE,NEW_DATA,20.8921,nan,nan
99,BASELINE,NEW_DATA,20.9073,92.0834,nan
100,BASELINE,NEW_DATA,20.9184,92.0834,nan
101,BASELINE,NEW_DATA,20.9364,92.0834,nan
102,BASELINE,NEW_DATA,20.9541,92.0834,nan
103,BASELINE,NEW_DATA,20.9697,92.0834,nan
104,BASELINE,NEW_DATA,20.9822,92.0834,nan
105,BASELINE,NEW_DATA,20.9975,92.0834,nan
106,BASELINE,NEW_DATA,21.0114,92.0834,nan
107,BASELINE,NEW_DATA,21.0238,92.0834,nan
108,BASELINE,NEW_DATA,21.0308,92.0834,nan
109,BASELINE,NEW_DATA,21.0349,92.0834,nan
110,BASELINE,NEW_DATA,21.0460,92.0834,nan
111,BASELINE,NEW_DATA,21.0599,92.0834,nan
112,BASELINE,NEW_DATA,21.0752,92.0834,nan
113,BASELINE,NEW_DATA,21.0932,92.0834,nan
114,BASELINE,NEW_DATA,21.0863,92.0834,nan
115,BASELINE,NEW_DATA,21.0987,92.0834,nan
116,BASELINE,NEW_DATA,21.1043,92.0834,nan
117,BASELINE,NEW_DATA,21.1140,92.0834,nan
118,BASELINE,NEW_DATA,21.1209,92.0834,nan
119,BASELINE,NEW_DATA,21.1293,92.0834,nan
120,BASELINE,NEW_DATA,21.1362,92.0834,nan
121,BASELINE,NEW_DATA,21.1404,92.0834,nan
122,BASELINE,NEW_DATA,21.1501,92.0834,nan
123,BASELINE,NEW_DATA,21.1598,92.2112,nan
124,BASELINE,NEW_DATA,21.1626,92.2112,nan
125,BASELINE,NEW_DATA,21.1639,92.2112,nan
