timestamp,kind,command,state,s_t,gate_open
2026-06-03 16:47:07.453,lifecycle,start,,,0
2026-06-03 16:47:08.971,state,increase,calm,-0.9011,1
2026-06-03 16:47:09.991,state,increase,calm,-0.8930,1
2026-06-03 16:47:11.015,state,increase,calm,-0.9417,1
2026-06-03 16:47:12.018,state,increase,calm,-0.9564,1
2026-06-03 16:47:13.019,state,increase,calm,-0.9629,1
2026-06-03 16:47:14.020,state,increase,calm,-0.9698,1
2026-06-03 16:47:15.024,state,increase,calm,-0.9552,1
2026-06-03 16:47:16.029,state,increase,calm,-0.9598,1
2026-06-03 16:47:17.032,state,increase,calm,-0.9578,1
2026-06-03 16:47:18.034,state,increase,calm,-0.9262,1
2026-06-03 16:47:19.045,state,increase,calm,-0.8664,1
2026-06-03 16:47:20.047,state,increase,calm,-0.8515,1
2026-06-03 16:47:21.056,state,increase,calm,-0.8576,1
2026-06-03 16:47:22.066,state,increase,calm,-0.8387,1
2026-06-03 16:47:23.072,state,increase,calm,-0.8133,1
2026-06-03 16:47:24.073,state,increase,calm,-0.7979,1
2026-06-03 16:47:25.087,state,increase,calm,-0.7830,1
2026-06-03 16:47:26.096,state,increase,calm,-0.7563,1
2026-06-03 16:47:27.104,state,increase,calm,-0.7306,1
2026-06-03 16:47:28.110,state,increase,calm,-0.7023,1
2026-06-03 16:47:29.118,state,increase,calm,-0.7003,1
2026-06-03 16:47:30.121,state,increase,calm,-0.7128,1
2026-06-03 16:47:31.129,state,increase,calm,-0.7285,1
2026-06-03 16:47:32.132,state,increase,calm,-0.7357,1
2026-06-03 16:47:33.136,state,increase,calm,-0.7331,1
2026-06-03 16:47:34.141,state,increase,calm,-0.7315,1
2026-06-03 16:47:35.149,state,increase,calm,-0.7336,1
2026-06-03 16:47:36.156,state,increase,calm,-0.6504,1
2026-06-03 16:47:37.177,state,increase,calm,-0.6272,1
2026-06-03 16:47:38.186,state,increase,calm,-0.6403,1
2026-06-03 16:47:39.205,state,increase,calm,-0.6447,1
2026-06-03 16:47:40.216,state,increase,calm,-0.6338,1
2026-06-03 16:47:41.227,state,increase,calm,-0.5898,1
2026-06-03 16:47:42.235,state,increase,calm,-0.5497,1
2026-06-03 16:47:43.237,state,increase,calm,-0.5159,1
2026-06-03 16:47:44.244,state,increase,calm,-0.5048,1
2026-06-03 16:47:45.256,state,increase,calm,-0.4466,1
2026-06-03 16:47:46.261,state,increase,calm,-0.4038,1
2026-06-03 16:47:47.263,state,increase,calm,-0.3204,1
2026-06-03 16:47:48.263,state,increase,calm,-0.2685,1
2026-06-03 16:47:49.269,state,increase,calm,-0.2650,1
2026-06-03 16:47:50.275,state,increase,calm,-0.2373,1
2026-06-03 16:47:51.282,state,increase,calm,-0.1609,1
2026-06-03 16:47:52.285,state,increase,calm,-0.1259,1
2026-06-03 16:47:53.288,state,increase,calm,-0.0980,1
2026-06-03 16:47:54.290,state,increase,calm,-0.0808,1
2026-06-03 16:47:55.294,state,increase,calm,-0.0748,1
2026-06-03 16:47:56.300,state,increase,calm,-0.0802,1
2026-06-03 16:47:57.306,state,increase,calm,-0.0966,1
2026-06-03 16:47:58.317,state,increase,calm,-0.1195,1
2026-06-03 16:47:59.325,state,increase,calm,-0.1193,1
2026-06-03 16:48:00.336,state,increase,calm,-0.1075,1
2026-06-03 16:48:01.350,state,increase,calm,-0.0822,1
2026-06-03 16:48:02.374,state,increase,calm,-0.0797,1
2026-06-03 16:48:03.395,state,increase,calm,-0.0688,1
2026-06-03 16:48:04.413,state,increase,calm,-0.0535,1
2026-06-03 16:48:05.415,state,increase,calm,0.0157,1
2026-06-03 16:48:06.420,state,increase,calm,0.0960,1
2026-06-03 16:48:07.422,state,increase,calm,0.1220,1
2026-06-03 16:48:08.427,state,increase,calm,0.1574,1
2026-06-03 16:48:09.431,state,increase,calm,0.2095,1
2026-06-03 16:48:10.437,state,increase,calm,0.2320,1
2026-06-03 16:48:11.441,state,increase,calm,0.2615,1
2026-06-03 16:48:12.447,state,increase,calm,0.2920,1
2026-06-03 16:48:13.449,state,increase,calm,0.3048,1
2026-06-03 16:48:14.456,state,increase,calm,0.3173,1
2026-06-03 16:48:15.467,state,increase,calm,0.3290,1
2026-06-03 16:48:16.478,state,increase,calm,0.3527,1
2026-06-03 16:48:17.485,state,increase,calm,0.3707,1
2026-06-03 16:48:18.495,state,increase,calm,0.3807,1
2026-06-03 16:48:19.504,state,increase,calm,0.4126,1
2026-06-03 16:48:20.508,state,increase,calm,0.3663,1
2026-06-03 16:48:21.514,state,increase,calm,0.3240,1
2026-06-03 16:48:22.516,state,increase,calm,0.3076,1
2026-06-03 16:48:23.519,state,increase,calm,0.3163,1
2026-06-03 16:48:24.528,state,increase,calm,0.3049,1
2026-06-03 16:48:25.539,state,increase,calm,0.3268,1
2026-06-03 16:48:26.558,state,increase,calm,0.3466,1
2026-06-03 16:48:27.567,state,increase,calm,0.3702,1
2026-06-03 16:48:28.575,state,increase,calm,0.3953,1
2026-06-03 16:48:29.593,state,increase,calm,0.3952,1
2026-06-03 16:48:30.593,state,increase,calm,0.4024,1
2026-06-03 16:48:31.596,state,increase,calm,0.4005,1
2026-06-03 16:48:32.602,state,increase,calm,0.3953,1
2026-06-03 16:48:33.606,state,increase,calm,0.3882,1
2026-06-03 16:48:34.614,state,increase,calm,0.3804,1
2026-06-03 16:48:35.623,state,increase,calm,0.3632,1
2026-06-03 16:48:36.624,state,increase,calm,0.3574,1
2026-06-03 16:48:37.629,state,increase,calm,0.3659,1
2026-06-03 16:48:38.630,state,increase,calm,0.3997,1
2026-06-03 16:48:39.637,state,increase,calm,0.4175,1
2026-06-03 16:48:40.644,state,increase,calm,0.3738,1
2026-06-03 16:48:41.649,state,increase,calm,0.3404,1
2026-06-03 16:48:42.655,state,increase,calm,0.3192,1
2026-06-03 16:48:43.663,state,increase,calm,0.3036,1
2026-06-03 16:48:44.668,state,increase,calm,0.3003,1
2026-06-03 16:48:45.671,state,increase,calm,0.2802,1
2026-06-03 16:48:46.676,state,increase,calm,0.2648,1
2026-06-03 16:48:47.681,state,increase,calm,0.2468,1
2026-06-03 16:48:48.688,state,increase,calm,0.2365,1
2026-06-03 16:48:49.693,state,increase,calm,0.2279,1
2026-06-03 16:48:50.697,state,increase,calm,0.2345,1
2026-06-03 16:48:51.699,state,increase,calm,0.2398,1
2026-06-03 16:48:52.701,state,increase,calm,0.2379,1
2026-06-03 16:48:53.713,state,increase,calm,0.2120,1
2026-06-03 16:48:54.728,state,increase,calm,0.2484,1
2026-06-03 16:48:55.748,state,increase,calm,0.4296,1
2026-06-03 16:48:56.754,state,increase,calm,0.4969,1
2026-06-03 16:48:57.755,state,increase,calm,0.0555,1
2026-06-03 16:48:58.763,state,increase,calm,-0.0715,1
2026-06-03 16:48:59.769,state,increase,calm,-0.0711,1
2026-06-03 16:49:00.772,state,increase,calm,0.0115,1
2026-06-03 16:49:01.776,state,increase,calm,-0.2098,1
2026-06-03 16:49:02.785,state,increase,calm,0.0036,1
2026-06-03 16:49:03.793,state,increase,calm,0.0505,1
2026-06-03 16:49:04.802,state,increase,calm,0.0356,1
2026-06-03 16:49:05.808,state,increase,calm,0.0031,1
2026-06-03 16:49:06.820,state,increase,calm,-0.0973,1
2026-06-03 16:49:07.828,state,increase,calm,-0.1328,1
2026-06-03 16:49:08.833,state,increase,calm,-0.0947,1
2026-06-03 16:49:09.840,state,increase,calm,-0.1467,1
2026-06-03 16:49:10.847,state,increase,calm,-0.2128,1
2026-06-03 16:49:11.865,state,increase,calm,-0.2507,1
2026-06-03 16:49:12.870,state,increase,calm,-0.2149,1
2026-06-03 16:49:13.878,state,increase,calm,-0.2365,1
2026-06-03 16:49:14.884,state,increase,calm,-0.2137,1
2026-06-03 16:49:15.891,state,increase,calm,-0.1211,1
2026-06-03 16:49:16.895,state,increase,calm,-0.1003,1
2026-06-03 16:49:17.902,state,increase,calm,-0.1831,1
2026-06-03 16:49:18.915,state,increase,calm,-0.1268,1
2026-06-03 16:49:19.923,state,increase,calm,-0.2378,1
2026-06-03 16:49:20.933,state,increase,calm,-0.1788,1
