timestamp,kind,command,state,s_t,gate_open
2026-06-01 08:36:21.063,lifecycle,start,,,0
2026-06-01 08:36:22.591,state,increase,calm,-0.4670,1
2026-06-01 08:36:23.603,state,increase,calm,-0.4690,1
2026-06-01 08:36:24.623,state,increase,calm,-0.4399,1
2026-06-01 08:36:25.631,state,increase,calm,-0.4091,1
2026-06-01 08:36:26.631,state,increase,calm,-0.4263,1
2026-06-01 08:36:27.662,state,increase,calm,-0.4123,1
2026-06-01 08:36:28.693,state,increase,calm,-0.3781,1
2026-06-01 08:36:29.695,state,increase,calm,-0.3624,1
2026-06-01 08:36:30.696,state,increase,calm,-0.3494,1
2026-06-01 08:36:31.721,state,increase,calm,-0.3146,1
2026-06-01 08:36:32.726,state,increase,calm,-0.2950,1
2026-06-01 08:36:33.724,state,increase,calm,-0.2825,1
2026-06-01 08:36:34.754,state,increase,calm,-0.2520,1
2026-06-01 08:36:35.784,state,increase,calm,-0.2303,1
2026-06-01 08:36:36.793,state,increase,calm,-0.2214,1
2026-06-01 08:36:37.810,state,increase,calm,-0.1964,1
2026-06-01 08:36:38.814,state,increase,calm,-0.1703,1
2026-06-01 08:36:39.814,state,increase,calm,-0.1406,1
2026-06-01 08:36:40.819,state,increase,calm,-0.1202,1
2026-06-01 08:36:41.848,state,increase,calm,-0.1087,1
2026-06-01 08:36:42.852,state,increase,calm,-0.0947,1
2026-06-01 08:36:43.856,state,increase,calm,-0.0529,1
2026-06-01 08:36:44.865,state,increase,calm,-0.0515,1
2026-06-01 08:36:45.870,state,increase,calm,-0.0563,1
2026-06-01 08:36:46.900,state,increase,calm,-0.0390,1
2026-06-01 08:36:47.901,state,increase,calm,-0.0236,1
2026-06-01 08:36:48.903,state,increase,calm,-0.0201,1
2026-06-01 08:36:49.904,state,increase,calm,-0.0128,1
2026-06-01 08:36:50.907,state,increase,calm,0.0039,1
2026-06-01 08:36:51.940,state,increase,calm,0.0191,1
2026-06-01 08:36:52.945,state,increase,calm,0.0106,1
2026-06-01 08:36:53.963,state,increase,calm,0.0268,1
2026-06-01 08:36:54.969,state,increase,calm,0.0833,1
2026-06-01 08:36:55.999,state,increase,calm,0.0836,1
2026-06-01 08:36:57.006,state,increase,calm,0.0923,1
2026-06-01 08:36:58.030,state,increase,calm,0.1175,1
2026-06-01 08:36:59.033,state,increase,calm,0.1181,1
2026-06-01 08:37:00.040,state,increase,calm,0.1220,1
2026-06-01 08:37:01.072,state,increase,calm,0.1496,1
2026-06-01 08:37:02.083,state,increase,calm,0.1600,1
2026-06-01 08:37:03.113,state,increase,calm,0.1468,1
2026-06-01 08:37:04.142,state,increase,calm,0.1564,1
2026-06-01 08:37:05.145,state,increase,calm,0.1826,1
2026-06-01 08:37:06.148,state,increase,calm,0.1871,1
2026-06-01 08:37:07.155,state,increase,calm,0.1666,1
2026-06-01 08:37:08.154,state,increase,calm,0.1812,1
2026-06-01 08:37:09.157,state,increase,calm,0.1803,1
2026-06-01 08:37:10.181,state,increase,calm,0.1842,1
2026-06-01 08:37:11.185,state,increase,calm,0.1818,1
2026-06-01 08:37:12.186,state,increase,calm,0.1794,1
2026-06-01 08:37:13.195,state,increase,calm,0.1919,1
2026-06-01 08:37:14.195,state,increase,calm,0.1833,1
2026-06-01 08:37:15.195,state,increase,calm,0.1738,1
2026-06-01 08:37:16.200,state,increase,calm,0.1307,1
2026-06-01 08:37:17.199,state,increase,calm,0.0670,1
2026-06-01 08:37:18.208,state,increase,calm,0.0099,1
2026-06-01 08:37:19.211,state,increase,calm,-0.0469,1
2026-06-01 08:37:20.217,state,increase,calm,-0.1115,1
2026-06-01 08:37:21.222,state,increase,calm,-0.1829,1
2026-06-01 08:37:22.247,state,increase,calm,-0.2385,1
2026-06-01 08:37:23.249,state,increase,calm,-0.2960,1
2026-06-01 08:37:24.276,state,increase,calm,-0.3535,1
2026-06-01 08:37:25.275,state,increase,calm,-0.3941,1
2026-06-01 08:37:26.283,state,increase,calm,-0.4333,1
2026-06-01 08:37:27.285,state,increase,calm,-0.4594,1
2026-06-01 08:37:28.285,state,increase,calm,-0.4867,1
2026-06-01 08:37:29.318,state,increase,calm,-0.5081,1
2026-06-01 08:37:30.319,state,increase,calm,-0.5195,1
2026-06-01 08:37:31.329,state,increase,calm,-0.5399,1
2026-06-01 08:37:32.330,state,increase,calm,-0.6543,1
2026-06-01 08:37:33.361,state,increase,calm,-0.7473,1
2026-06-01 08:37:34.363,state,increase,calm,-0.7658,1
2026-06-01 08:37:35.365,state,increase,calm,-0.7699,1
2026-06-01 08:37:36.396,state,increase,calm,-0.7466,1
2026-06-01 08:37:37.428,state,increase,calm,-0.7323,1
2026-06-01 08:37:38.428,state,increase,calm,-0.7175,1
2026-06-01 08:37:39.429,state,increase,calm,-0.6896,1
2026-06-01 08:37:40.432,state,increase,calm,-0.6697,1
2026-06-01 08:37:41.436,state,increase,calm,-0.6587,1
2026-06-01 08:37:42.455,state,increase,calm,-0.6321,1
2026-06-01 08:37:43.480,state,increase,calm,-0.6096,1
2026-06-01 08:37:44.488,state,increase,calm,-0.6001,1
2026-06-01 08:37:45.491,state,increase,calm,-0.5789,1
2026-06-01 08:37:46.520,state,increase,calm,-0.5835,1
2026-06-01 08:37:47.553,state,increase,calm,-0.5896,1
2026-06-01 08:37:48.576,state,increase,calm,-0.5741,1
2026-06-01 08:37:49.579,state,increase,calm,-0.5893,1
2026-06-01 08:37:50.584,state,increase,calm,-0.6020,1
2026-06-01 08:37:51.613,state,increase,calm,-0.5989,1
2026-06-01 08:37:52.633,state,increase,calm,-0.5949,1
2026-06-01 08:37:53.636,state,increase,calm,-0.5997,1
2026-06-01 08:37:54.657,state,increase,calm,-0.6127,1
2026-06-01 08:37:55.724,state,increase,calm,-0.6158,1
2026-06-01 08:37:56.725,state,increase,calm,-0.6459,1
2026-06-01 08:37:57.726,state,increase,calm,-0.6677,1
2026-06-01 08:37:58.757,state,increase,calm,-0.6083,1
2026-06-01 08:37:59.759,state,increase,calm,-0.5915,1
2026-06-01 08:38:00.766,state,increase,calm,-0.5898,1
2026-06-01 08:38:01.770,state,increase,calm,-0.5645,1
2026-06-01 08:38:02.779,state,increase,calm,-0.5334,1
2026-06-01 08:38:03.805,state,increase,calm,-0.5170,1
2026-06-01 08:38:04.837,state,increase,calm,-0.5055,1
2026-06-01 08:38:05.838,state,increase,calm,-0.4889,1
2026-06-01 08:38:06.842,state,increase,calm,-0.4563,1
2026-06-01 08:38:07.871,state,increase,calm,-0.4332,1
2026-06-01 08:38:08.900,state,increase,calm,-0.4062,1
2026-06-01 08:38:09.901,state,increase,calm,-0.3805,1
2026-06-01 08:38:10.911,state,increase,calm,-0.3656,1
2026-06-01 08:38:11.920,state,increase,calm,-0.3645,1
2026-06-01 08:38:12.947,state,increase,calm,-0.3333,1
2026-06-01 08:38:13.970,state,increase,calm,-0.3202,1
2026-06-01 08:38:15.002,state,increase,calm,-0.3129,1
2026-06-01 08:38:16.031,state,increase,calm,-0.3128,1
2026-06-01 08:38:17.055,state,increase,calm,-0.3146,1
2026-06-01 08:38:18.084,state,increase,calm,-0.3007,1
2026-06-01 08:38:19.113,state,increase,calm,-0.3041,1
2026-06-01 08:38:20.140,state,increase,calm,-0.3002,1
2026-06-01 08:38:21.171,state,increase,calm,-0.2784,1
2026-06-01 08:38:22.173,state,increase,calm,-0.2677,1
2026-06-01 08:38:23.201,state,increase,calm,-0.2935,1
2026-06-01 08:38:24.230,state,increase,calm,-0.2548,1
2026-06-01 08:38:25.256,state,increase,calm,-0.2092,1
2026-06-01 08:38:26.278,state,increase,calm,-0.2021,1
2026-06-01 08:38:27.305,state,increase,calm,-0.1937,1
2026-06-01 08:38:28.338,state,increase,calm,-0.1839,1
2026-06-01 08:38:29.373,state,increase,calm,-0.1680,1
2026-06-01 08:38:30.396,state,increase,calm,-0.1500,1
2026-06-01 08:38:31.419,state,increase,calm,-0.1376,1
2026-06-01 08:38:32.450,state,increase,calm,-0.1204,1
2026-06-01 08:38:33.475,state,increase,calm,-0.1286,1
2026-06-01 08:38:34.476,state,increase,calm,-0.1095,1
2026-06-01 08:38:35.502,state,increase,calm,-0.1018,1
2026-06-01 08:38:36.505,state,increase,calm,-0.1374,1
2026-06-01 08:38:37.525,state,increase,calm,-0.1478,1
2026-06-01 08:38:38.526,state,increase,calm,-0.1551,1
2026-06-01 08:38:39.554,state,increase,calm,-0.1927,1
2026-06-01 08:38:40.582,state,increase,calm,-0.2262,1
2026-06-01 08:38:41.605,state,increase,calm,-0.2551,1
2026-06-01 08:38:42.611,state,increase,calm,-0.2782,1
2026-06-01 08:38:43.611,state,increase,calm,-0.3065,1
2026-06-01 08:38:44.638,state,increase,calm,-0.3432,1
2026-06-01 08:38:45.666,state,increase,calm,-0.3680,1
2026-06-01 08:38:45.885,lifecycle,stop,,,1
2026-06-01 08:38:49.347,lifecycle,stop,,,1
2026-06-01 08:38:49.348,lifecycle,stop,,,1
