timestamp,kind,command,state,s_t,gate_open
2026-06-01 17:50:20.688,lifecycle,start,,,0
2026-06-01 17:50:22.205,state,increase,calm,0.0000,1
2026-06-01 17:50:23.220,state,increase,calm,-0.9619,1
2026-06-01 17:50:24.236,state,increase,calm,-0.6680,1
2026-06-01 17:50:25.246,state,increase,calm,-0.3661,1
2026-06-01 17:50:26.257,state,increase,calm,-1.8854,1
2026-06-01 17:50:27.273,state,increase,calm,-2.7351,1
2026-06-01 17:50:28.284,state,increase,calm,-2.8143,1
2026-06-01 17:50:29.293,state,increase,calm,-2.3287,1
2026-06-01 17:50:30.301,state,increase,calm,-2.0256,1
2026-06-01 17:50:31.314,state,increase,calm,-2.3290,1
2026-06-01 17:50:32.332,state,increase,calm,-2.5511,1
2026-06-01 17:50:33.342,state,increase,calm,-2.5162,1
2026-06-01 17:50:34.353,state,increase,calm,-2.0655,1
2026-06-01 17:50:35.366,state,increase,calm,-1.7036,1
2026-06-01 17:50:36.378,state,increase,calm,-1.6503,1
2026-06-01 17:50:37.390,state,increase,calm,-1.6216,1
2026-06-01 17:50:38.407,state,increase,calm,-1.4314,1
2026-06-01 17:50:39.418,state,increase,calm,-1.2653,1
2026-06-01 17:50:40.427,state,increase,calm,-1.2563,1
2026-06-01 17:50:41.441,state,increase,calm,-1.2673,1
2026-06-01 17:50:42.457,state,increase,calm,-1.5573,1
2026-06-01 17:50:43.471,state,increase,calm,-2.7714,1
2026-06-01 17:50:44.479,state,increase,calm,-3.4663,1
2026-06-01 17:50:45.494,state,increase,calm,-2.0274,1
2026-06-01 17:50:46.511,state,increase,calm,-0.2328,1
2026-06-01 17:50:47.523,state,increase,calm,0.4877,1
2026-06-01 17:50:48.536,state,increase,calm,0.3605,1
2026-06-01 17:50:49.555,state,increase,calm,-0.0642,1
2026-06-01 17:50:50.573,state,increase,calm,-0.6808,1
2026-06-01 17:50:51.586,state,increase,calm,-1.0826,1
2026-06-01 17:50:52.599,state,increase,calm,-1.3985,1
2026-06-01 17:50:53.615,state,increase,calm,-1.7209,1
2026-06-01 17:50:54.628,state,increase,calm,-1.7268,1
2026-06-01 17:50:55.639,state,increase,calm,-1.7002,1
2026-06-01 17:50:56.654,state,increase,calm,-1.8403,1
2026-06-01 17:50:57.664,state,increase,calm,-1.9285,1
2026-06-01 17:50:58.682,state,increase,calm,-1.8262,1
2026-06-01 17:50:59.693,state,increase,calm,-1.9195,1
2026-06-01 17:51:00.706,state,increase,calm,-2.9323,1
2026-06-01 17:51:01.722,state,increase,calm,-5.0849,1
2026-06-01 17:51:02.740,state,increase,calm,-4.3563,1
2026-06-01 17:51:03.753,state,increase,calm,-1.2952,1
2026-06-01 17:51:05.237,state,decrease,ultra_stressed,1.2287,1
2026-06-01 17:51:06.852,state,increase,calm,0.6512,1
2026-06-01 17:51:07.863,state,increase,calm,-0.3438,1
2026-06-01 17:51:08.877,state,increase,calm,-1.1600,1
2026-06-01 17:51:09.884,state,increase,calm,-1.7323,1
2026-06-01 17:51:10.893,state,increase,calm,-2.2519,1
2026-06-01 17:51:11.905,state,increase,calm,-2.5163,1
2026-06-01 17:51:12.922,state,increase,calm,-2.6487,1
2026-06-01 17:51:13.927,state,increase,calm,-2.7432,1
2026-06-01 17:51:14.941,state,increase,calm,-2.8836,1
2026-06-01 17:51:15.952,state,increase,calm,-3.0253,1
2026-06-01 17:51:16.968,state,increase,calm,-3.0085,1
2026-06-01 17:51:17.979,state,increase,calm,-2.9466,1
2026-06-01 17:51:18.993,state,increase,calm,-2.9410,1
2026-06-01 17:51:20.007,state,increase,calm,-2.8822,1
2026-06-01 17:51:21.019,state,increase,calm,-2.8421,1
2026-06-01 17:51:22.034,state,increase,calm,-2.8258,1
2026-06-01 17:51:23.045,state,increase,calm,-3.0360,1
2026-06-01 17:51:24.058,state,increase,calm,-3.6252,1
2026-06-01 17:51:25.075,state,increase,calm,-3.4507,1
2026-06-01 17:51:26.089,state,increase,calm,-2.4814,1
2026-06-01 17:51:27.101,state,increase,calm,-2.0089,1
2026-06-01 17:51:28.110,state,increase,calm,-1.9085,1
2026-06-01 17:51:29.125,state,increase,calm,-2.0275,1
2026-06-01 17:51:30.137,state,increase,calm,-2.1383,1
2026-06-01 17:51:31.149,state,increase,calm,-2.2892,1
2026-06-01 17:51:32.163,state,increase,calm,-2.5514,1
2026-06-01 17:51:33.177,state,increase,calm,-2.6021,1
2026-06-01 17:51:34.195,state,increase,calm,-2.3896,1
2026-06-01 17:51:35.210,state,increase,calm,-2.3732,1
2026-06-01 17:51:36.225,state,increase,calm,-2.3760,1
2026-06-01 17:51:37.240,state,increase,calm,-2.5150,1
2026-06-01 17:51:38.249,state,increase,calm,-2.5962,1
2026-06-01 17:51:39.259,state,increase,calm,-2.5392,1
2026-06-01 17:51:40.267,state,increase,calm,-2.5267,1
2026-06-01 17:51:41.280,state,increase,calm,-2.5950,1
2026-06-01 17:51:42.291,state,increase,calm,-2.5997,1
2026-06-01 17:51:43.305,state,increase,calm,-2.6029,1
2026-06-01 17:51:44.317,state,increase,calm,-2.6032,1
2026-06-01 17:51:45.331,state,increase,calm,-2.6640,1
2026-06-01 17:51:46.344,state,increase,calm,-2.7040,1
2026-06-01 17:51:47.357,state,increase,calm,-2.6572,1
2026-06-01 17:51:48.368,state,increase,calm,-2.5679,1
2026-06-01 17:51:49.382,state,increase,calm,-2.4588,1
2026-06-01 17:51:50.395,state,increase,calm,-2.4381,1
2026-06-01 17:51:51.407,state,increase,calm,-2.4684,1
2026-06-01 17:51:52.418,state,increase,calm,-2.4926,1
2026-06-01 17:51:53.429,state,increase,calm,-2.5264,1
2026-06-01 17:51:54.441,state,increase,calm,-2.6082,1
2026-06-01 17:51:55.453,state,increase,calm,-2.6922,1
2026-06-01 17:51:56.468,state,increase,calm,-2.5799,1
2026-06-01 17:51:57.483,state,increase,calm,-2.3321,1
2026-06-01 17:51:58.496,state,increase,calm,-2.4076,1
2026-06-01 17:51:59.504,state,increase,calm,-2.7999,1
2026-06-01 17:52:00.515,state,increase,calm,-2.7397,1
2026-06-01 17:52:01.525,state,increase,calm,-2.2509,1
2026-06-01 17:52:02.541,state,increase,calm,-1.8876,1
2026-06-01 17:52:03.553,state,increase,calm,-1.8077,1
2026-06-01 17:52:04.567,state,increase,calm,-1.7684,1
2026-06-01 17:52:05.580,state,increase,calm,-1.7396,1
2026-06-01 17:52:06.595,state,increase,calm,-1.7858,1
2026-06-01 17:52:07.609,state,increase,calm,-1.8365,1
2026-06-01 17:52:08.616,state,increase,calm,-1.9645,1
2026-06-01 17:52:09.627,state,increase,calm,-2.1548,1
2026-06-01 17:52:10.634,state,increase,calm,-2.4701,1
2026-06-01 17:52:11.643,state,increase,calm,-2.5750,1
2026-06-01 17:52:12.660,state,increase,calm,-2.5821,1
2026-06-01 17:52:13.674,state,increase,calm,-2.6307,1
2026-06-01 17:52:14.687,state,increase,calm,-2.6428,1
2026-06-01 17:52:15.702,state,increase,calm,-2.6639,1
2026-06-01 17:52:16.715,state,increase,calm,-2.7219,1
2026-06-01 17:52:17.724,state,increase,calm,-2.6420,1
2026-06-01 17:52:18.735,state,increase,calm,-2.5546,1
2026-06-01 17:52:19.745,state,increase,calm,-2.5296,1
2026-06-01 17:52:20.759,state,increase,calm,-2.5980,1
2026-06-01 17:52:21.778,state,increase,calm,-2.5576,1
2026-06-01 17:52:22.785,state,increase,calm,-2.3601,1
2026-06-01 17:52:23.798,state,increase,calm,-2.3665,1
2026-06-01 17:52:24.812,state,increase,calm,-3.6926,1
2026-06-01 17:52:25.821,state,increase,calm,-3.8397,1
2026-06-01 17:52:26.832,state,increase,calm,-1.9372,1
2026-06-01 17:52:27.843,state,increase,calm,-0.6006,1
2026-06-01 17:52:28.855,state,increase,calm,-0.0219,1
2026-06-01 17:52:29.870,state,increase,calm,0.1681,1
2026-06-01 17:52:30.885,state,increase,calm,-0.1896,1
2026-06-01 17:52:31.899,state,increase,calm,-1.2980,1
2026-06-01 17:52:32.913,state,increase,calm,-3.4873,1
2026-06-01 17:52:33.927,state,increase,calm,-4.2688,1
2026-06-01 17:52:34.937,state,increase,calm,-1.7295,1
